District,Block,Total_Schools,Growth_Schools,Decline_Schools,Recovery_Schools,Volatile_Schools,Low_Continuity_Schools,Wide_Enroll_Spread_Schools,Girls_Declining_Schools,Avg_Growth_pct,Avg_Continuity_8_9,Avg_Girls_Ratio,Block_Zone,Priority_Action_Flag
BARABANKI,PURE DALAI,2,0,0,1,2,0,0,0,20.2,570.34,0.773,YELLOW,False
BARABANKI,SIDDHAOR,1,0,1,0,1,0,0,1,-26.78,570.34,0.59,RED,True
BARABANKI,SIRAULI GAUSPUR,1,0,0,0,0,0,0,0,9.34,570.34,0.455,YELLOW,False
BARABANKI,SURAT GANJ,2,0,0,2,1,0,0,1,-11.84,570.34,0.471,RED,True
BARABANKI,TRIVEDI GANJ,2,0,0,1,0,0,0,1,8.8,570.34,0.503,YELLOW,False
BAREILLY,ALAMPUR,1,0,0,0,1,0,0,0,18.46,570.34,0.558,YELLOW,False
BAREILLY,AONLA,1,0,0,1,0,0,0,0,1.54,570.34,1.0,YELLOW,False
BAREILLY,BAHERI,5,2,0,1,2,0,0,1,9.16,570.34,0.594,YELLOW,False
BAREILLY,BAHERI TOWN,1,0,0,0,0,0,0,1,-6.03,570.34,1.0,ORANGE,True
BAREILLY,BAREILLY TOWN,2,0,0,0,0,0,0,0,-8.62,570.34,0.5,ORANGE,True
BAREILLY,BHADPURA,4,2,0,2,3,0,0,2,26.9,570.34,0.483,YELLOW,False
BAREILLY,BHOJIPURA,2,0,1,0,1,0,0,1,-22.24,570.34,0.45,RED,True
BAREILLY,BHUTA,3,1,0,1,1,0,0,0,23.76,570.34,0.481,YELLOW,False
BAREILLY,FARIDPUR,3,0,0,2,1,0,0,0,40.25,570.34,0.473,YELLOW,False
BAREILLY,FATEHGANJ,4,2,1,0,2,0,1,1,193.26,570.34,0.598,YELLOW,False
BAREILLY,KYARA,7,2,0,2,1,0,0,3,2.17,570.34,0.495,YELLOW,False
BAREILLY,MAJHGAWAN,5,1,1,2,2,0,1,2,63.73,570.34,0.445,YELLOW,False
BAREILLY,MIRGANJ,1,0,0,0,0,0,0,1,-3.12,570.34,0.516,YELLOW,False
BAREILLY,NAWABGANJ,11,3,2,2,5,0,0,3,45.71,570.34,0.647,YELLOW,False
BAREILLY,RAMNAGAR,2,1,0,1,1,0,0,0,2.97,570.34,0.578,YELLOW,False
BAREILLY,RICHHA(DAMKHODA),5,3,0,1,5,0,0,0,120.81,570.34,0.587,YELLOW,False
BAREILLY,SHERGARH,4,2,0,1,3,0,0,0,59.05,570.34,0.712,YELLOW,False
BAREILLY,VITHARI CHAINPUR,4,2,0,1,3,0,0,1,122.01,570.34,0.567,YELLOW,False
BASTI,BAHADURPUR,4,1,0,1,4,0,0,0,70.34,570.34,0.555,YELLOW,False
BASTI,BASTI SADAR,1,0,0,1,0,0,0,1,8.22,570.34,0.418,YELLOW,False
BASTI,DUBAULIA,3,0,0,3,3,0,0,1,48.4,570.34,0.55,YELLOW,False
BASTI,GAUR,4,1,1,1,4,0,0,3,-6.81,570.34,0.681,ORANGE,True
BASTI,HARRIYA,2,0,0,2,2,0,0,0,74.94,570.34,0.528,YELLOW,False
BASTI,KAPTANGANJ,1,1,0,0,1,0,0,0,105.56,570.34,0.423,GREEN,False
BASTI,KUDRAHA,1,0,0,0,1,0,0,0,40.62,570.34,0.667,YELLOW,False
BASTI,PARSHURAMPUR,2,0,0,2,0,0,0,1,-1.46,570.34,0.549,YELLOW,False
BASTI,RUDHOLI,1,0,0,1,0,0,0,0,-4.84,570.34,0.478,YELLOW,False
BASTI,SALTOVA GOPALPUR,1,0,0,0,0,0,0,0,3.74,570.34,0.586,YELLOW,False
BASTI,TOWN AREA,2,0,1,0,0,0,0,1,-24.19,570.34,0.5,RED,True
BASTI,VIKRAMJOT,1,0,0,1,1,0,0,0,35.56,570.34,1.0,YELLOW,False
BHADOI,ABHOLI,4,1,0,2,3,0,0,2,4.79,570.34,0.472,YELLOW,False
