District,Block,Total_Declining_Schools,Most_Common_Reason
KANPUR DEHAT,AKBARPUR,1,Higher Education Transition Issue
KANPUR DEHAT,RASULABAD,1,Higher Education Transition Issue
KANPUR DEHAT,SARVANKHERA,1,Higher Education Transition Issue
KANPUR NAGAR,BHITERGAON,1,Higher Education Transition Issue
KANPUR NAGAR,BIDHNU,1,Migration/Population Shift
KANPUR NAGAR,CHAUBEPUR,1,Higher Education Transition Issue
KANPUR NAGAR,GHATAMPUR,3,Social/Gender Barrier
KANPUR NAGAR,KALYANPUR,2,Higher Education Transition Issue
KANPUR NAGAR,PATARA,1,Social/Gender Barrier
KANPUR NAGAR,SARSAUL,2,Higher Education Transition Issue
KANPUR NAGAR,SHASTRI NAGAR,1,Undetermined
KANSHIRAM NAGAR,PATIYALI,1,Undetermined
KAUSHAMBI,MANJHANPUR,1,Social/Gender Barrier
KAUSHAMBI,SIRATHU,1,Social/Gender Barrier
KHERI,BANKEGANJ,1,Higher Education Transition Issue
KHERI,DHAURAHARA,1,Undetermined
KHERI,ISANAGAR,1,Higher Education Transition Issue
KHERI,KUMBHI-GOLA,3,Higher Education Transition Issue
KHERI,LAKHIMPUR,1,Undetermined
KHERI,LMP,1,Undetermined
KHERI,MITAULI,4,Higher Education Transition Issue
KHERI,MOHAMMADI,1,Social/Gender Barrier
KHERI,NAKAHA,2,Higher Education Transition Issue
KHERI,NIGHASAN,3,Higher Education Transition Issue
KHERI,PALIYA,2,Social/Gender Barrier
KHERI,PHOOL BEHAR,2,Higher Education Transition Issue
KUSHINAGAR,DUDAHI,1,Higher Education Transition Issue
KUSHINAGAR,HATA,2,Undetermined
KUSHINAGAR,KHADDA,2,Higher Education Transition Issue
LALITPUR,BAR,3,Higher Education Transition Issue
LALITPUR,BIRDHA,5,Higher Education Transition Issue
LALITPUR,JAKHORA,3,Higher Education Transition Issue
LALITPUR,LALITPUR,2,Undetermined
LALITPUR,MADAWRA,2,Higher Education Transition Issue
LALITPUR,MAHRONI,6,Higher Education Transition Issue
LALITPUR,TALBEHAT,2,Higher Education Transition Issue
LUCKNOW,BAKSHI KA TALAB,5,Higher Education Transition Issue
LUCKNOW,CHINHAT,1,Social/Gender Barrier
LUCKNOW,GOSHAI GANJ,2,Higher Education Transition Issue
LUCKNOW,KAKORI,2,Higher Education Transition Issue
LUCKNOW,MAAL,2,Higher Education Transition Issue
LUCKNOW,MALIHABAD,1,Higher Education Transition Issue
LUCKNOW,MOHAN LAL GANJ,4,Higher Education Transition Issue
