District,Block,Boys_Only_Schools,Girls_Only_Schools,Boys_Dominated_Schools,Balanced_Schools,Avg_Girls_pct_2223,Avg_Girls_pct_2526,Block_Gender_Direction
BIJNOR,JALILPUR,0,1,0,0,100.0,100.0,Stable
BIJNOR,KIRATPUR,0,1,0,1,72.5,72.6,Stable
BIJNOR,KOTWALI,0,1,0,1,61.5,70.6,Improving
BIJNOR,MOHD.PUR DEVMAL,0,1,0,1,54.8,70.3,Improving
BIJNOR,NAJIBABAD,0,1,0,3,37.8,61.8,Improving
BIJNOR,NAJIBABAD(NAGAR),1,0,0,0,0.0,0.0,Stable
BUDAUN,AASAFPUR,0,0,0,0,68.7,55.2,Declining
BUDAUN,AMBIYAPUR,0,0,0,1,55.3,50.0,Declining
BUDAUN,BISAULI,0,1,0,3,58.2,64.5,Improving
BUDAUN,BUDAUN CITY,1,1,0,0,50.0,50.0,Stable
BUDAUN,DATAGANJ,0,2,0,0,50.0,100.0,Improving
BUDAUN,DEHGANWAN,0,0,0,1,42.7,42.9,Stable
BUDAUN,JAGAT,0,0,0,2,50.9,51.3,Stable
BUDAUN,MIAUN,0,0,0,1,62.5,50.0,Declining
BUDAUN,QADARCHOWK,0,1,0,0,51.6,54.0,Improving
BUDAUN,SAHASWAN CITY,0,1,0,0,100.0,100.0,Stable
BUDAUN,SALARPUR,0,0,0,1,29.3,48.0,Improving
BUDAUN,SAMRER,0,0,0,0,41.8,37.0,Declining
BUDAUN,UJHANI,0,0,0,0,29.8,49.1,Improving
BUDAUN,USAWAN,0,0,0,0,36.7,38.5,Stable
BUDAUN,WAZEERGANJ,0,1,0,2,69.3,69.0,Stable
BULANDSHAHR,AGAUTA,0,0,0,1,88.9,51.2,Declining
BULANDSHAHR,ANOOPSHAHAR,0,0,0,0,61.3,52.3,Declining
BULANDSHAHR,ARNIA,0,0,0,0,38.4,48.2,Improving
BULANDSHAHR,B.B.NAGAR,0,1,0,0,84.9,84.5,Stable
BULANDSHAHR,BULANDSHAHR,0,0,0,3,53.9,52.9,Stable
BULANDSHAHR,BULANDSHAR NAGAR,1,1,0,0,50.0,50.0,Stable
BULANDSHAHR,DANPUR,0,1,0,1,69.4,61.6,Declining
BULANDSHAHR,DEBAI,0,3,0,1,76.2,79.7,Improving
BULANDSHAHR,GULAOTI,0,0,0,1,55.1,45.0,Declining
BULANDSHAHR,JAHAGIRABAD,0,0,0,1,60.5,56.1,Declining
BULANDSHAHR,KHURJA,0,0,0,1,49.3,54.6,Improving
BULANDSHAHR,LAKHAWATI,0,1,0,0,20.8,70.3,Improving
BULANDSHAHR,PAHASU,0,1,0,1,73.4,70.9,Declining
BULANDSHAHR,SHIKARPUR,0,1,0,1,83.9,68.0,Declining
BULANDSHAHR,SIKANDRABAD,0,1,0,0,72.0,71.2,Stable
BULANDSHAHR,SYNA,0,0,0,0,72.0,72.5,Stable
BULANDSHAHR,UCHAGAON,0,0,0,2,60.5,45.8,Declining
CHANDAULI,BARAHANI,0,1,0,1,62.7,55.9,Declining
CHANDAULI,CHAHANIYA,0,0,0,1,60.8,53.0,Declining
CHANDAULI,CHAKIYA,0,0,0,3,48.3,49.7,Stable
CHANDAULI,CHANDAULI,0,0,0,2,54.8,51.3,Declining
CHANDAULI,NAUGARH,0,0,0,5,47.1,50.7,Improving
CHANDAULI,SAKALDIHA,0,1,0,0,100.0,100.0,Stable
CHANDAULI,SHAHABGANJ,0,0,0,2,39.4,45.2,Improving
CHITRAKOOT,CHITRAKOOT,0,0,0,3,53.8,56.6,Improving
CHITRAKOOT,CHITRAKOOT (URBAN),0,1,0,0,100.0,100.0,Stable
CHITRAKOOT,MANIKPUR,0,1,0,2,52.4,57.8,Improving
CHITRAKOOT,MAU,0,0,0,4,52.1,51.8,Stable
CHITRAKOOT,PAHADI,0,1,1,2,53.8,56.6,Improving
CHITRAKOOT,RAM NAGAR,0,1,0,1,72.6,75.4,Improving
DEORIA,BARAHAJ,0,0,0,1,57.6,60.8,Improving
DEORIA,BHATNI,0,0,0,1,58.6,45.5,Declining
DEORIA,BHATPAR RANI,0,1,0,0,0.0,100.0,Improving
DEORIA,BHLUANI,0,0,0,0,0.0,43.4,Improving
DEORIA,DEORIA NAGAR KSHETRA,0,1,0,0,62.1,67.8,Improving
DEORIA,DESAHI DEORIA,0,0,0,0,44.9,37.7,Declining
DEORIA,GAURI BAZAR,0,1,0,0,67.6,76.2,Improving
DEORIA,LAR,0,0,0,0,70.8,65.2,Declining
DEORIA,PATTHRDEVA,0,0,0,2,60.2,50.6,Declining
DEORIA,RUDRAPUR,0,0,0,2,35.8,50.0,Improving
DEORIA,SALIMPUR,0,1,0,0,100.0,100.0,Stable
ETAH,ALIGANJ,0,1,0,1,69.3,70.6,Stable
ETAH,AWAGARH,0,0,0,1,58.6,51.3,Declining
ETAH,ETAH (URBAN),0,1,1,0,50.0,53.2,Improving
ETAH,JAITHARA,0,0,0,1,65.5,61.3,Declining
ETAH,JALESAR,0,0,0,0,58.5,61.7,Improving
ETAH,JALESAR (URBAN),0,1,0,0,100.0,99.6,Stable
ETAH,MARHARA,0,0,0,1,50.4,56.2,Improving
ETAH,NIDHAULI KALAN,0,2,0,2,69.4,68.4,Stable
ETAH,SAKEET,0,0,0,1,50.6,51.0,Stable
ETAH,SHEETAL PUR,0,1,0,1,68.9,76.0,Improving
ETAWAH,BARHPURA,0,1,0,0,100.0,100.0,Stable
ETAWAH,BHARTHANA,0,0,0,0,68.4,55.4,Declining
ETAWAH,CHAKARNAGAR,0,1,0,3,54.1,58.8,Improving
ETAWAH,ETAWAH NAGAR CHETRA,1,1,0,0,54.6,50.4,Declining
ETAWAH,JASWANT NAGAR,0,1,0,2,59.6,62.9,Improving
ETAWAH,MAHEWA,0,0,0,1,52.5,54.5,Stable
ETAWAH,SAIFAI,1,1,0,0,47.0,53.6,Improving
ETAWAH,TAKHA,0,0,0,1,62.6,54.5,Declining
FAIZABAD,AMANIGANJ,0,2,0,0,86.2,88.5,Improving
FAIZABAD,AYODHYA TOWN AREA,1,2,0,0,66.8,66.7,Stable
FAIZABAD,BIKAPUR,0,1,0,0,80.6,79.8,Stable
FAIZABAD,MASAUDHA,0,1,0,0,100.0,100.0,Stable
FAIZABAD,MAWAI,0,0,0,0,43.4,57.4,Improving
FAIZABAD,MAYA,0,1,0,2,64.6,66.6,Stable
FAIZABAD,MILKIPUR,0,0,0,3,33.9,48.1,Improving
FAIZABAD,PURA,0,0,0,1,28.4,45.6,Improving
FAIZABAD,RUDAULI,0,1,0,1,78.4,70.1,Declining
FAIZABAD,SOHAWAL,0,1,0,1,88.2,74.2,Declining
FAIZABAD,TARUN,0,1,0,0,100.0,100.0,Stable
FARRUKHABAD,KAMALGANJ,0,0,0,0,64.3,62.5,Stable
FARRUKHABAD,MOHAMDABAD,0,0,0,0,43.5,56.6,Improving
FARRUKHABAD,NAG. KSH.FAR.BAD,2,1,0,0,33.3,33.3,Stable
FARRUKHABAD,NAWABGANJ,0,0,0,1,43.2,48.7,Improving
FARRUKHABAD,RAJE PUR,0,1,0,2,65.5,65.8,Stable
FARRUKHABAD,SHAMSABAD,0,0,0,1,50.9,52.7,Stable
FATEHPUR,AIRAYAN,0,0,0,1,45.2,45.3,Stable
FATEHPUR,AMAULI,0,0,0,1,48.8,55.2,Improving
FATEHPUR,ASHOTHAR,0,0,0,2,59.6,65.7,Improving
FATEHPUR,BAHUA,0,0,0,0,56.4,56.7,Stable
FATEHPUR,BHITAURA,0,1,0,1,68.7,64.8,Declining
FATEHPUR,DEOMAI,0,0,0,2,58.0,51.1,Declining
FATEHPUR,DHATA,0,0,0,1,55.9,52.0,Declining
FATEHPUR,HASAWA,0,0,0,2,65.3,56.7,Declining
FATEHPUR,HATHGAOM,0,0,0,1,54.4,51.5,Declining
FATEHPUR,KHAJUHA,0,0,0,1,51.2,48.4,Declining
FATEHPUR,MALAWAN,0,1,0,2,67.8,63.2,Declining
FATEHPUR,NAGAR BINDKI,0,1,0,0,100.0,100.0,Stable
FATEHPUR,NAGAR FATEHPUR,1,1,0,0,52.7,46.7,Declining
FATEHPUR,TELIYANI,0,1,0,1,65.6,62.1,Declining
FATEHPUR,VIJAIPUR,0,0,0,1,57.3,53.3,Declining
FIROZABAD,ARAWN,0,0,0,3,55.8,52.4,Declining
FIROZABAD,EKA,0,0,0,0,55.2,56.2,Stable
FIROZABAD,FIROZABAD,0,0,0,0,35.6,49.2,Improving
FIROZABAD,JASRANA,0,1,0,0,76.8,79.8,Improving
FIROZABAD,KHAIRGARH,0,0,0,0,62.2,57.4,Declining
FIROZABAD,MADANPUR,0,1,0,0,77.1,81.6,Improving
FIROZABAD,NARKHI,0,0,0,0,52.9,55.5,Improving
FIROZABAD,SHIKOHABAD,0,0,0,1,41.8,48.7,Improving
FIROZABAD,TUNDLA,0,1,0,2,64.1,63.8,Stable
GAUTAM BUDDHA NAGAR,DADRI,0,0,0,1,38.4,46.8,Improving
GAUTAM BUDDHA NAGAR,DANKAUR,0,0,0,1,39.7,46.8,Improving
GAUTAM BUDDHA NAGAR,VISRAKH,0,2,0,1,71.3,71.7,Stable
GHAZIABAD,BHOJPUR,0,1,0,0,49.5,53.7,Improving
GHAZIABAD,GHAZIABAD (MUN.AREA),0,1,0,0,69.0,69.7,Stable
GHAZIABAD,LONI,1,1,0,0,0.0,50.0,Improving
GHAZIABAD,MURAD NAGAR,0,0,0,1,20.0,51.9,Improving
GHAZIABAD,RAZAPUR,0,0,0,1,48.3,44.2,Declining
GHAZIPUR,BHADAURA,0,2,0,0,100.0,100.0,Stable
GHAZIPUR,BHAWARCOL,0,0,0,0,70.8,59.8,Declining
GHAZIPUR,BIRNO,0,0,0,0,53.6,59.8,Improving
GHAZIPUR,DEOKALI,0,2,0,0,88.1,90.4,Improving
GHAZIPUR,GHAZIPUR SADAR,0,0,0,0,57.9,59.7,Stable
GHAZIPUR,KARANDA,0,0,0,0,60.0,49.0,Declining
GHAZIPUR,KASIMABAD,0,1,0,0,100.0,100.0,Stable
GHAZIPUR,MANIHARI,0,1,0,0,77.0,66.6,Declining
GHAZIPUR,MOHAMMADABAD,0,1,0,0,100.0,100.0,Stable
GHAZIPUR,NAGAR CHHETRA,1,1,0,0,50.0,50.0,Stable
GHAZIPUR,REOTIPUR,0,0,0,0,34.9,66.7,Improving
GHAZIPUR,SADAT,0,1,0,1,73.4,74.6,Stable
GHAZIPUR,SAIDPUR,0,2,0,0,79.8,80.0,Stable
GHAZIPUR,ZAKHANIA,0,0,0,0,57.5,46.2,Declining
GHAZIPUR,ZAMANIA,0,1,0,0,100.0,100.0,Stable
GONDA,BELSAR,0,0,0,2,52.1,54.7,Improving
GONDA,CHHAPIA,0,1,0,1,50.0,75.2,Improving
GONDA,COLONELGANJ,0,0,0,1,58.2,53.7,Declining
GONDA,GONDA(MUN. CORP.),1,1,0,0,50.0,50.0,Stable
GONDA,HALDHARMAU,0,0,0,0,52.8,58.8,Improving
GONDA,ITIYATHOK,0,0,0,1,52.7,47.8,Declining
GONDA,JHANJHRI,0,0,0,0,55.0,64.5,Improving
GONDA,KATRA BAZAR,0,0,0,0,67.5,65.3,Declining
GONDA,MANKAPUR,0,0,0,0,55.4,59.2,Improving
GONDA,MUJEHNA,0,0,0,0,50.8,67.0,Improving
GONDA,NAWAB GANJ,0,0,0,0,78.3,78.8,Stable
GONDA,PANDRI KRIPAL,0,0,0,0,56.5,64.7,Improving
GONDA,PARASPUR,0,0,0,0,53.2,55.1,Stable
GONDA,RUPAIDEEH,0,0,0,0,47.8,60.9,Improving
GONDA,TARABGANJ,0,0,0,0,23.2,64.9,Improving
GORAKHPUR,BAANSGAON,0,1,0,0,100.0,100.0,Stable
GORAKHPUR,BADHALGANJ,0,0,0,1,51.5,50.0,Stable
GORAKHPUR,BELGHAT,0,0,0,2,50.6,48.0,Declining
GORAKHPUR,BHATHAT,0,0,0,0,59.1,63.3,Improving
GORAKHPUR,CAMPIARGANJ,0,1,0,2,67.1,66.0,Stable
GORAKHPUR,CHARGANWA,0,0,0,1,48.2,60.2,Improving
GORAKHPUR,GOLA,0,0,0,1,49.5,53.5,Improving
GORAKHPUR,KAUDIRAM,0,0,0,0,63.8,59.4,Declining
GORAKHPUR,KHAJNI,0,1,0,0,76.2,71.8,Declining
GORAKHPUR,KHORABAR,0,0,0,1,49.8,49.7,Stable
GORAKHPUR,NAGAR KSHETRA,1,1,0,0,50.0,50.0,Stable
GORAKHPUR,PIPRAICH,0,0,0,1,62.5,46.4,Declining
GORAKHPUR,PIPRAULI,0,0,0,0,50.0,64.5,Improving
GORAKHPUR,SAHJANWA,0,0,0,1,60.6,45.8,Declining
GORAKHPUR,SARDARNAGAR,0,1,0,0,100.0,100.0,Stable
HAMIRPUR (U.P.),GOHAND,0,1,0,1,83.4,73.4,Declining
HAMIRPUR (U.P.),KURARA,0,0,0,2,48.2,47.2,Stable
HAMIRPUR (U.P.),MAUDHA,0,1,0,2,62.7,61.4,Stable
HAMIRPUR (U.P.),MUSKARA,0,0,0,3,38.5,46.0,Improving
