District,Block,Avg_Girls_Progression,Avg_C10_C11_pct,Collapsed_Enrollment_Schools,C1011_Gap_Schools,Strong_Enrollment_Schools,Block_Girls_Enrollment_Health
BULANDSHAHR,BULANDSHAHR,383386.1,36.7,0,0,0,Strong
BULANDSHAHR,BULANDSHAR NAGAR,255.3,128.1,0,0,1,Strong
BULANDSHAHR,DANPUR,100051.4,17.7,0,1,0,Strong
BULANDSHAHR,DEBAI,71.8,39.0,0,1,0,Strong
BULANDSHAHR,GULAOTI,2250000.0,112.0,0,0,1,Strong
BULANDSHAHR,JAHAGIRABAD,59.3,35.1,0,0,1,Moderate
BULANDSHAHR,KHURJA,160.0,73.0,0,0,0,Strong
BULANDSHAHR,LAKHAWATI,2200000.0,66.0,0,0,0,Strong
BULANDSHAHR,PAHASU,80.9,34.2,0,0,1,Strong
BULANDSHAHR,SHIKARPUR,400056.8,208.6,0,1,0,Strong
BULANDSHAHR,SIKANDRABAD,650000.0,52.2,0,0,0,Strong
BULANDSHAHR,SYNA,0.0,0.0,0,0,0,Weak
BULANDSHAHR,UCHAGAON,35.6,77.8,0,0,0,Moderate
CHANDAULI,BARAHANI,35.8,16.0,0,0,0,Moderate
CHANDAULI,CHAHANIYA,0.0,0.0,0,0,0,Weak
CHANDAULI,CHAKIYA,195.6,24.9,0,0,1,Strong
CHANDAULI,CHANDAULI,0.0,0.0,0,0,0,Weak
CHANDAULI,NAUGARH,83.5,19.3,0,0,1,Strong
CHANDAULI,SAKALDIHA,5100000.0,69.8,0,1,0,Strong
CHANDAULI,SHAHABGANJ,0.0,0.0,0,0,0,Weak
CHITRAKOOT,CHITRAKOOT,60.0,10.2,0,1,0,Moderate
CHITRAKOOT,CHITRAKOOT (URBAN),178.7,105.6,0,0,1,Strong
CHITRAKOOT,MANIKPUR,88.5,18.2,0,1,0,Strong
CHITRAKOOT,MAU,82.3,34.0,0,0,1,Strong
CHITRAKOOT,PAHADI,0.0,6.2,1,0,0,Weak
CHITRAKOOT,RAM NAGAR,113.8,54.0,0,0,1,Strong
DEORIA,BARAHAJ,0.0,0.0,0,0,0,Weak
DEORIA,BHATNI,0.0,0.0,0,0,0,Weak
DEORIA,BHATPAR RANI,200000.0,0.0,0,1,0,Strong
DEORIA,BHLUANI,2600000.0,174.4,0,0,0,Strong
DEORIA,DEORIA NAGAR KSHETRA,488.2,158.0,0,0,1,Strong
DEORIA,DESAHI DEORIA,2099.0,84.2,0,0,1,Strong
DEORIA,GAURI BAZAR,1966666.7,45.5,0,0,1,Strong
DEORIA,LAR,0.0,0.0,0,0,0,Weak
DEORIA,PATTHRDEVA,0.0,0.0,0,0,0,Weak
DEORIA,RUDRAPUR,1025000.0,21.3,0,0,0,Strong
DEORIA,SALIMPUR,0.0,14.3,1,0,0,Weak
ETAH,ALIGANJ,136.7,41.2,0,1,1,Strong
ETAH,AWAGARH,66.7,23.8,0,0,0,Strong
ETAH,ETAH (URBAN),375.0,47.8,1,0,1,Moderate
ETAH,JAITHARA,81.1,67.8,0,0,1,Strong
ETAH,JALESAR,0.0,0.0,0,0,0,Weak
ETAH,JALESAR (URBAN),438.3,61.5,0,1,0,Strong
ETAH,MARHARA,0.0,0.0,0,0,0,Weak
ETAH,NIDHAULI KALAN,160.2,53.8,0,1,2,Strong
ETAH,SAKEET,262.4,26.4,0,1,0,Strong
ETAH,SHEETAL PUR,64.0,59.6,0,0,1,Strong
ETAWAH,BARHPURA,7200000.0,102.7,0,0,1,Strong
ETAWAH,BHARTHANA,0.0,0.0,0,0,0,Weak
