District,Block,High_Risk_Count,Medium_Risk_Count,Low_Risk_Count,Total_Schools,Risk_Density_pct,Block_Zone
FARRUKHABAD,RAJE PUR,0,1,2,3,0.0,GREEN
FARRUKHABAD,SHAMSABAD,0,1,0,1,0.0,RED
FATEHPUR,AIRAYAN,1,0,1,2,50.0,RED
FATEHPUR,AMAULI,0,3,0,3,0.0,YELLOW
FATEHPUR,ASHOTHAR,0,3,1,4,0.0,YELLOW
FATEHPUR,BAHUA,1,1,2,4,25.0,YELLOW
FATEHPUR,BHITAURA,0,0,3,3,0.0,GREEN
FATEHPUR,DEOMAI,0,2,0,2,0.0,YELLOW
FATEHPUR,DHATA,0,3,0,3,0.0,YELLOW
FATEHPUR,HASAWA,0,2,2,4,0.0,YELLOW
FATEHPUR,HATHGAOM,0,0,3,3,0.0,YELLOW
FATEHPUR,KHAJUHA,1,2,0,3,33.3,YELLOW
FATEHPUR,MALAWAN,1,2,2,5,20.0,YELLOW
FATEHPUR,NAGAR BINDKI,0,0,1,1,0.0,YELLOW
FATEHPUR,NAGAR FATEHPUR,1,0,2,3,33.3,RED
FATEHPUR,TELIYANI,0,1,3,4,0.0,YELLOW
FATEHPUR,VIJAIPUR,0,1,2,3,0.0,YELLOW
FIROZABAD,ARAWN,1,3,0,4,25.0,YELLOW
FIROZABAD,EKA,1,2,0,3,33.3,YELLOW
FIROZABAD,FIROZABAD,0,0,3,3,0.0,GREEN
FIROZABAD,JASRANA,0,1,1,2,0.0,YELLOW
FIROZABAD,KHAIRGARH,0,1,0,1,0.0,YELLOW
FIROZABAD,MADANPUR,1,0,1,2,50.0,ORANGE
FIROZABAD,NARKHI,0,0,1,1,0.0,YELLOW
FIROZABAD,SHIKOHABAD,1,0,0,1,99.9,RED
FIROZABAD,TUNDLA,1,2,2,5,20.0,YELLOW
GAUTAM BUDDHA NAGAR,DADRI,0,0,1,1,0.0,GREEN
GAUTAM BUDDHA NAGAR,DANKAUR,0,0,2,2,0.0,YELLOW
GAUTAM BUDDHA NAGAR,VISRAKH,0,0,4,4,0.0,YELLOW
GHAZIABAD,BHOJPUR,0,2,4,6,0.0,YELLOW
GHAZIABAD,GHAZIABAD (MUN.AREA),0,1,1,2,0.0,ORANGE
GHAZIABAD,LONI,0,1,1,2,0.0,YELLOW
GHAZIABAD,MURAD NAGAR,0,1,0,1,0.0,ORANGE
GHAZIABAD,RAZAPUR,0,0,2,2,0.0,YELLOW
GHAZIPUR,BHADAURA,0,1,1,2,0.0,GREEN
GHAZIPUR,BHAWARCOL,0,2,0,2,0.0,YELLOW
GHAZIPUR,BIRNO,0,2,0,2,0.0,RED
GHAZIPUR,DEOKALI,0,1,2,3,0.0,YELLOW
GHAZIPUR,GHAZIPUR SADAR,0,1,0,1,0.0,GREEN
GHAZIPUR,KARANDA,0,1,1,2,0.0,YELLOW
GHAZIPUR,KASIMABAD,0,1,0,1,0.0,YELLOW
GHAZIPUR,MANIHARI,2,0,1,3,66.6,RED
GHAZIPUR,MOHAMMADABAD,0,0,1,1,0.0,YELLOW
GHAZIPUR,NAGAR CHHETRA,0,1,1,2,0.0,ORANGE
GHAZIPUR,REOTIPUR,0,0,1,1,0.0,GREEN
GHAZIPUR,SADAT,0,0,2,2,0.0,YELLOW
GHAZIPUR,SAIDPUR,0,2,2,4,0.0,YELLOW
GHAZIPUR,ZAKHANIA,0,2,0,2,0.0,YELLOW
GHAZIPUR,ZAMANIA,0,0,1,1,0.0,GREEN
GONDA,BELSAR,0,1,2,3,0.0,YELLOW
GONDA,CHHAPIA,0,1,1,2,0.0,YELLOW
GONDA,COLONELGANJ,0,1,0,1,0.0,YELLOW
GONDA,GONDA(MUN. CORP.),0,1,1,2,0.0,ORANGE
GONDA,HALDHARMAU,0,1,0,1,0.0,RED
GONDA,ITIYATHOK,0,0,1,1,0.0,YELLOW
GONDA,JHANJHRI,3,0,0,3,100.0,ORANGE
