District,Block,Ghost_Schools,Micro_Schools,Very_Small_Schools,Critical_Closure_Risk,High_Closure_Risk
ETAH,SHEETAL PUR,0,0,0,0,0
ETAWAH,BARHPURA,0,0,0,0,0
ETAWAH,BHARTHANA,0,0,0,0,0
ETAWAH,CHAKARNAGAR,0,0,0,0,0
ETAWAH,ETAWAH NAGAR CHETRA,0,0,0,0,0
ETAWAH,JASWANT NAGAR,0,0,1,0,0
ETAWAH,MAHEWA,0,0,0,0,0
ETAWAH,SAIFAI,0,0,0,0,0
ETAWAH,TAKHA,0,0,0,0,0
FAIZABAD,AMANIGANJ,0,0,1,0,0
FAIZABAD,AYODHYA TOWN AREA,0,0,0,0,0
FAIZABAD,BIKAPUR,0,0,0,0,0
FAIZABAD,MASAUDHA,0,0,0,0,0
FAIZABAD,MAWAI,0,0,0,0,0
FAIZABAD,MAYA,0,0,2,0,0
FAIZABAD,MILKIPUR,0,0,0,0,0
FAIZABAD,PURA,0,0,1,0,1
FAIZABAD,RUDAULI,0,0,0,0,0
FAIZABAD,SOHAWAL,0,0,0,0,0
FAIZABAD,TARUN,0,1,0,1,0
FARRUKHABAD,KAMALGANJ,0,0,0,0,0
FARRUKHABAD,MOHAMDABAD,0,0,0,0,0
FARRUKHABAD,NAG. KSH.FAR.BAD,0,0,0,0,0
FARRUKHABAD,NAWABGANJ,0,0,0,0,0
FARRUKHABAD,RAJE PUR,0,0,0,0,0
FARRUKHABAD,SHAMSABAD,0,0,0,0,0
FATEHPUR,AIRAYAN,0,0,1,0,1
FATEHPUR,AMAULI,0,0,2,0,0
FATEHPUR,ASHOTHAR,0,1,1,0,0
FATEHPUR,BAHUA,0,1,0,0,1
FATEHPUR,BHITAURA,0,0,0,0,0
FATEHPUR,DEOMAI,0,0,0,0,0
FATEHPUR,DHATA,0,0,0,0,0
FATEHPUR,HASAWA,0,0,0,0,0
FATEHPUR,HATHGAOM,0,0,0,0,0
FATEHPUR,KHAJUHA,0,0,1,0,0
FATEHPUR,MALAWAN,0,0,0,0,0
FATEHPUR,NAGAR BINDKI,0,0,0,0,0
FATEHPUR,NAGAR FATEHPUR,0,1,0,0,1
FATEHPUR,TELIYANI,0,0,0,0,0
FATEHPUR,VIJAIPUR,0,0,0,0,0
FIROZABAD,ARAWN,0,1,0,0,0
FIROZABAD,EKA,0,0,2,0,1
FIROZABAD,FIROZABAD,0,0,0,0,0
FIROZABAD,JASRANA,0,0,0,0,0
FIROZABAD,KHAIRGARH,0,0,1,0,0
FIROZABAD,MADANPUR,0,0,0,0,0
FIROZABAD,NARKHI,0,0,0,0,0
FIROZABAD,SHIKOHABAD,0,0,0,0,0
FIROZABAD,TUNDLA,0,0,1,0,1
GAUTAM BUDDHA NAGAR,DADRI,0,0,0,0,0
GAUTAM BUDDHA NAGAR,DANKAUR,0,0,0,0,0
GAUTAM BUDDHA NAGAR,VISRAKH,0,0,0,0,0
GHAZIABAD,BHOJPUR,0,1,0,0,0
GHAZIABAD,GHAZIABAD (MUN.AREA),0,0,0,0,0
GHAZIABAD,LONI,0,0,0,0,0
GHAZIABAD,MURAD NAGAR,0,0,0,0,0
GHAZIABAD,RAZAPUR,0,0,0,0,0
GHAZIPUR,BHADAURA,0,0,0,0,0
GHAZIPUR,BHAWARCOL,0,0,0,0,0
GHAZIPUR,BIRNO,0,0,1,0,0
GHAZIPUR,DEOKALI,0,0,1,0,0
GHAZIPUR,GHAZIPUR SADAR,0,0,0,0,0
GHAZIPUR,KARANDA,0,0,0,0,0
GHAZIPUR,KASIMABAD,0,0,0,0,0
GHAZIPUR,MANIHARI,0,1,1,1,1
GHAZIPUR,MOHAMMADABAD,0,0,0,0,0
GHAZIPUR,NAGAR CHHETRA,0,0,0,0,0
GHAZIPUR,REOTIPUR,0,0,0,0,0
GHAZIPUR,SADAT,0,0,0,0,0
GHAZIPUR,SAIDPUR,0,0,0,0,0
GHAZIPUR,ZAKHANIA,0,0,1,0,0
GHAZIPUR,ZAMANIA,0,0,0,0,0
GONDA,BELSAR,0,0,0,0,0
GONDA,CHHAPIA,0,0,0,0,0
GONDA,COLONELGANJ,0,0,0,0,0
GONDA,GONDA(MUN. CORP.),0,0,0,0,0
GONDA,HALDHARMAU,0,0,0,0,0
GONDA,ITIYATHOK,0,0,0,0,0
GONDA,JHANJHRI,0,1,0,0,2
GONDA,KATRA BAZAR,0,0,0,0,0
GONDA,MANKAPUR,0,0,0,0,0
GONDA,MUJEHNA,0,0,0,0,0
GONDA,NAWAB GANJ,0,0,0,0,0
GONDA,PANDRI KRIPAL,0,0,0,0,0
GONDA,PARASPUR,0,0,0,0,0
GONDA,RUPAIDEEH,0,0,1,0,0
GONDA,TARABGANJ,0,0,0,0,0
GORAKHPUR,BAANSGAON,0,0,0,0,0
GORAKHPUR,BADHALGANJ,0,0,0,0,0
GORAKHPUR,BELGHAT,0,0,1,0,1
GORAKHPUR,BHATHAT,0,0,0,0,0
GORAKHPUR,CAMPIARGANJ,0,0,0,0,0
GORAKHPUR,CHARGANWA,0,0,0,0,0
GORAKHPUR,GOLA,0,0,0,0,0
GORAKHPUR,KAUDIRAM,0,0,0,0,0
GORAKHPUR,KHAJNI,0,0,0,0,0
GORAKHPUR,KHORABAR,0,0,0,0,0
GORAKHPUR,NAGAR KSHETRA,0,0,0,0,0
GORAKHPUR,PIPRAICH,0,0,0,0,0
GORAKHPUR,PIPRAULI,0,0,1,1,0
GORAKHPUR,SAHJANWA,0,0,0,0,1
GORAKHPUR,SARDARNAGAR,0,0,0,0,0
HAMIRPUR (U.P.),GOHAND,0,0,1,0,0
HAMIRPUR (U.P.),KURARA,0,0,0,0,0
HAMIRPUR (U.P.),MAUDHA,0,0,0,0,0
HAMIRPUR (U.P.),MUSKARA,0,0,0,0,0
HAMIRPUR (U.P.),NP HAMIRPUR,0,0,0,0,0
HAMIRPUR (U.P.),NP MAUDAHA,0,0,0,0,0
HAMIRPUR (U.P.),NP RATH,0,0,0,0,0
HAMIRPUR (U.P.),RATH,0,0,0,0,0
HAMIRPUR (U.P.),SARILA,0,0,1,0,0
HAMIRPUR (U.P.),SUMERPUR,0,0,1,1,0
HAPUR (PANCHSHEEL NAGAR),DHAULANA,0,0,0,0,0
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,0,0,0,0,0
HAPUR (PANCHSHEEL NAGAR),HAPUR,0,0,0,0,0
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,0,0,0,0,1
HARDOI,AHIRORI,0,1,0,0,0
HARDOI,BAWAN,0,0,0,0,0
HARDOI,BEHANDAR,0,0,0,0,0
HARDOI,BHARAWAN,0,0,0,0,0
HARDOI,BHARKHANI,0,0,0,0,0
HARDOI,BILGRAM,0,1,0,1,0
HARDOI,HARIYAWAN,0,0,0,0,0
HARDOI,HARPALPUR,0,0,0,0,0
HARDOI,KACHAUNA,0,0,1,0,0
HARDOI,KOTHAWAN,0,0,0,0,0
HARDOI,MADHOGANJ,0,0,0,0,0
HARDOI,MALLAWA,0,1,0,1,0
HARDOI,PIHANI,0,0,0,0,0
HARDOI,SANDI,0,0,1,0,1
HARDOI,SANDILA,0,0,0,0,0
HARDOI,SHAHABAD,0,0,1,1,0
HARDOI,SURSA,0,0,0,0,0
HARDOI,TANDIYAWA,0,0,0,0,0
HARDOI,TN.AR.  PIHANI,0,0,0,0,0
HARDOI,TN.AR. HARDOI,0,0,0,0,0
HARDOI,TN.AR. SANDILA,0,0,0,0,0
HARDOI,TONDARPUR,0,0,2,0,2
HATHRAS,HASAYAN,0,0,0,0,0
HATHRAS,HATHRAS,0,0,0,0,0
HATHRAS,MURSAN,0,0,0,0,0
HATHRAS,N.P. HATHRAS,0,0,0,0,0
HATHRAS,SADABAD,0,0,1,0,0
HATHRAS,SAHPAU,0,0,2,0,0
HATHRAS,SASNI,0,0,0,0,0
HATHRAS,SIKANDRA RAO,0,0,0,0,0
JALAUN,DAKOR,0,0,0,0,0
JALAUN,JALAUN,0,0,1,0,0
JALAUN,KADAURA,0,0,1,1,0
JALAUN,KONCH,0,0,1,0,0
JALAUN,KUTHAUND,0,0,0,0,0
JALAUN,MADHAUGADH,0,0,0,0,0
JALAUN,MAHEVA,0,0,0,0,0
JALAUN,NADIGAWN,0,0,0,0,0
JALAUN,RAMPURA,0,0,0,0,0
JALAUN,T. A. ORAI,0,0,0,0,0
JAUNPUR,BADLA PUR,0,0,1,0,1
JAUNPUR,BARSATHI,0,0,0,0,0
JAUNPUR,BUKSHA,0,0,0,0,0
JAUNPUR,DHARMAPUR,0,0,0,0,0
JAUNPUR,DOBHI,0,0,0,0,0
JAUNPUR,JALALPUR,0,0,0,0,0
JAUNPUR,JAUNPUR  [NAGAR],0,0,0,0,0
JAUNPUR,KARANJA KALA,0,0,0,0,1
JAUNPUR,KERAKAT,0,0,0,0,0
JAUNPUR,KHUTHAN,0,0,0,0,0
JAUNPUR,MACHHALI SHAHAR,0,0,0,0,0
JAUNPUR,MADIYAHUN,0,0,1,0,0
JAUNPUR,MAHARAJ GANJ,0,0,1,0,0
JAUNPUR,MUFTI GANJ,0,0,0,0,0
JAUNPUR,MUGRA BADSHAH PUR,0,0,0,0,0
JAUNPUR,RAM PUR,0,0,0,0,0
JAUNPUR,SHAH GANJ,0,1,0,0,0
JAUNPUR,SIKRARA,0,0,1,0,1
JAUNPUR,SIRKONI,0,0,2,0,1
JAUNPUR,SUITHA KALA,0,0,0,0,0
JAUNPUR,SUJAN GANJ,0,0,0,0,0
JHANSI,BABINA,0,0,0,0,0
JHANSI,BAMORE,0,1,0,1,0
JHANSI,BANGRA,0,0,0,0,0
JHANSI,BARAGAON,0,0,0,0,1
JHANSI,CHIRGAON,0,0,0,0,0
JHANSI,GURSARAI,0,0,0,0,0
JHANSI,JHANSI NAGARCHETRA,0,0,0,0,0
JHANSI,MAURANIPUR,0,0,0,0,1
JHANSI,MAURANIPUR  N.CHETRA,0,0,0,0,0
JHANSI,MOTH,0,0,0,0,0
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,0,0,0,0,0
JYOTIBA PHULE NAGAR (AMROHA),AMROHA CITY,0,0,0,0,0
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,0,0,0,0,1
JYOTIBA PHULE NAGAR (AMROHA),GAJRAULA,0,0,0,0,0
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,0,0,0,0,1
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR,1,0,0,1,0
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR CITY,0,0,0,0,0
JYOTIBA PHULE NAGAR (AMROHA),JOYA,0,0,0,0,0
KANNAUJ,CHHIBRAMAU,0,0,1,0,0
KANNAUJ,GUGRAPUR,0,0,1,0,0
KANNAUJ,HASERAN,0,1,0,0,1
KANNAUJ,JALALABAD,0,0,0,0,0
KANNAUJ,KANNAUJ,0,0,1,0,1
KANNAUJ,SAURIKH,0,0,1,0,0
KANNAUJ,TAL GRAM,0,0,1,0,1
KANNAUJ,UMARDA,0,2,0,0,1
KANPUR DEHAT,AKBARPUR,0,0,0,0,0
KANPUR DEHAT,AMARAUDHA,0,0,1,0,0
KANPUR DEHAT,DERAPUR,0,0,0,0,0
KANPUR DEHAT,JHINJHAK,0,0,0,0,0
KANPUR DEHAT,MAITHA,0,0,0,0,0
KANPUR DEHAT,MALASA,0,0,1,0,0
KANPUR DEHAT,RAJPUR,0,0,1,0,0
KANPUR DEHAT,RASULABAD,0,0,0,0,0
KANPUR DEHAT,SANDALPUR,0,0,1,0,0
KANPUR DEHAT,SARVANKHERA,0,0,0,0,0
KANPUR NAGAR,BHITERGAON,0,0,0,0,0
KANPUR NAGAR,BIDHNU,0,0,0,0,0
