District,Block,Avg_Continuation_Ratio,Senior_Dropout_Schools,Senior_Collapse_Schools,Both_Growing_Schools
FATEHPUR,AIRAYAN,35.6,0,1,0
FATEHPUR,AMAULI,0.0,0,3,0
FATEHPUR,ASHOTHAR,0.0,0,4,0
FATEHPUR,BAHUA,39.7,0,3,0
FATEHPUR,BHITAURA,45.7,0,1,2
FATEHPUR,DEOMAI,0.0,0,2,0
FATEHPUR,DHATA,0.0,0,3,0
FATEHPUR,HASAWA,15.4,0,3,0
FATEHPUR,HATHGAOM,18.2,0,2,1
FATEHPUR,KHAJUHA,0.0,0,3,0
FATEHPUR,MALAWAN,17.8,0,4,1
FATEHPUR,NAGAR BINDKI,85.6,0,0,0
FATEHPUR,NAGAR FATEHPUR,73.5,0,1,1
FATEHPUR,TELIYANI,37.8,0,2,2
FATEHPUR,VIJAIPUR,16.9,0,2,1
FIROZABAD,ARAWN,0.0,0,4,0
FIROZABAD,EKA,0.0,0,3,0
FIROZABAD,FIROZABAD,19.6,0,2,0
FIROZABAD,JASRANA,59.0,0,1,0
FIROZABAD,KHAIRGARH,0.0,0,1,0
FIROZABAD,MADANPUR,30.0,0,1,0
FIROZABAD,NARKHI,0.0,0,1,0
FIROZABAD,SHIKOHABAD,90.4,0,0,0
FIROZABAD,TUNDLA,16.0,0,4,0
GAUTAM BUDDHA NAGAR,DADRI,0.0,0,1,0
GAUTAM BUDDHA NAGAR,DANKAUR,60.4,0,1,0
GAUTAM BUDDHA NAGAR,VISRAKH,68.2,0,1,2
GHAZIABAD,BHOJPUR,31.8,0,3,1
GHAZIABAD,GHAZIABAD (MUN.AREA),87.5,0,0,1
GHAZIABAD,LONI,52.8,0,1,0
GHAZIABAD,MURAD NAGAR,0.0,0,1,0
GHAZIABAD,RAZAPUR,0.0,0,2,0
GHAZIPUR,BHADAURA,65.4,0,0,2
GHAZIPUR,BHAWARCOL,0.0,0,2,0
GHAZIPUR,BIRNO,0.0,0,2,0
GHAZIPUR,DEOKALI,49.7,0,1,1
GHAZIPUR,GHAZIPUR SADAR,0.0,0,1,0
GHAZIPUR,KARANDA,0.0,0,2,0
GHAZIPUR,KASIMABAD,221.0,0,0,1
GHAZIPUR,MANIHARI,33.3,0,2,0
GHAZIPUR,MOHAMMADABAD,66.4,0,0,1
GHAZIPUR,NAGAR CHHETRA,158.1,0,0,0
GHAZIPUR,REOTIPUR,0.0,0,1,0
GHAZIPUR,SADAT,57.6,0,1,0
GHAZIPUR,SAIDPUR,32.2,0,2,1
GHAZIPUR,ZAKHANIA,0.0,0,2,0
GHAZIPUR,ZAMANIA,131.3,0,0,1
GONDA,BELSAR,0.0,0,3,0
GONDA,CHHAPIA,62.6,0,0,0
GONDA,COLONELGANJ,0.0,0,1,0
GONDA,GONDA(MUN. CORP.),126.7,0,0,1
GONDA,HALDHARMAU,0.0,0,1,0
GONDA,ITIYATHOK,0.0,0,1,0
GONDA,JHANJHRI,0.0,0,3,0
GONDA,KATRA BAZAR,0.0,0,1,0
GONDA,MANKAPUR,0.0,0,2,0
GONDA,MUJEHNA,0.0,0,2,0
GONDA,NAWAB GANJ,0.0,0,1,0
GONDA,PANDRI KRIPAL,0.0,0,3,0
GONDA,PARASPUR,0.0,0,1,0
GONDA,RUPAIDEEH,0.0,0,1,0
GONDA,TARABGANJ,22.6,0,1,0
GORAKHPUR,BAANSGAON,83.1,0,0,0
GORAKHPUR,BADHALGANJ,0.0,0,1,0
