District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,Risk_Score,Risk_Level,Decline_flag,Severe_Decline_flag,Low_Continuity_flag,Wide_Enroll_Spread_flag,Low_Enrollment_flag,Volatile_flag,Girls_Decline_flag,Gender_Imbalance_flag,Weak_Continuity_flag,Small_School_flag
BALRAMPUR,SHRIDUTTGANJ,9521600304,GOVT HIGH SCHOOL DEVRIYA MUBARAKPUR,180.0,119,-33.89,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
SHAMLI (PRABUDH NAGAR),OON,9740903504,GOVT YAMUNA KHADAR INTER COLLEGE,397.0,236,-40.55,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
KAUSHAMBI,MANJHANPUR,9440112201,RAJKIYA H.S.S PINDARA SAHAWANPUR,56.0,14,-75.0,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
BUDAUN,SAMRER,9191109503,"GOVT. HIGH SCHOOL, HANSI GANJ",157.0,103,-34.39,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
KAUSHAMBI,SIRATHU,9440307903,RAJKIYA HIGH SCHOOL RALA SIRATHU KAUSHAMBI,71.0,43,-39.44,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
VARANASI,ARAJILINES,9670509206,GOVERNMENT ABHINAV INTER COLLEGE ARAJILINES,443.0,304,-31.38,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
SHAHJAHANPUR,BANDA,9220610103,G.H.S CHILHAUTA BANDA,59.0,29,-50.85,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MORADABAD,THAKURDWARA,9041212602,GOVT.HIGH SCHOOL TANDA AFJAL,31.0,24,-22.58,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
BANDA,NARAINI,9400405209,G.G.I.C. KARTAL,476.0,313,-34.24,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
BUDAUN,BISAULI,9191603004,PT. DEENDAYAL UPADHAY GOVT. MODEL INTER COLLEGE NOORPUR,585.0,234,-60.0,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
MORADABAD,CHAJLET,9042007613,GOVT INTER COLLEGE SALEMPUR,372.0,179,-51.88,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
UNNAO,SUMERPUR,9261601206,GOVT HIGH SCHOOL BISHRAMAU,41.0,28,-31.71,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
KANPUR NAGAR,CHAUBEPUR,9340404805,GOVT HIGH SCHOOL RAI GOPALPUR,187.0,111,-40.64,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,9061600706,RAJKIYA H.S. RAHRAI,100.0,74,-26.0,8,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,No,No,No
PILIBHIT,PURANPUR,9210707902,"GOVERNMENT INTER COLLEGE, GABHIYA SAHRAI PURANPUR",861.0,608,-29.38,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
MUZAFFARNAGAR,JANSATH,9021205204,GOVT. HIGH SCHOOL HUSAINPUR KHADAR,66.0,48,-27.27,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
MUZAFFARNAGAR,KHATAULI,9021400115,GOVT.HIGH SCHOOL NAVLA,192.0,113,-41.15,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
SAHARANPUR,PUNWARKA,9011007604,"GOVT HIGH SCHOOL CHANDPUR, SRE",34.0,25,-26.47,8,HIGH RISK,Yes,Yes,No,No,Yes,No,No,No,No,Yes
BIJNOR,AFZALGRAH,9030102505,RAJKIYA ADARSH JANTA INTER COLLEGE SHAHPUR JAMAL ,845.0,521,-38.34,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
BARABANKI,SIDDHAOR,9461220701,RAJKIYA U.M.V ASDAMAU BELHARI SIDDHAUR,183.0,134,-26.78,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
BHADOI,DEEGH,9710510803,GOVT. HIGH SCHOOL NAGARDAH,37.0,14,-62.16,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
