District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,YoY_Latest,Block_Zone,Girls_Ratio_Improving,Upper_Class_Growing,Bright_Spot_Flag,Potential_Score,Potential_Tag,Investment_Worthy
MORADABAD,THAKURDWARA,9041208304,GOVT. KANYA INTER COLLEGE,75,78,4.0,21.88,YELLOW,False,True,False,3,Medium Potential,True
AMBEDKAR NAGAR,AKBARPUR,9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,34,35,2.94,75.0,YELLOW,True,False,False,3,Medium Potential,True
MUZAFFARNAGAR,BUDHANA,9020601003,GOVT HIGH SCHOOL ATALI,61,88,44.26,12.82,YELLOW,True,False,False,3,Medium Potential,True
AMBEDKAR NAGAR,AKBARPUR,9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,64,199,210.94,61.79,YELLOW,False,True,False,3,Medium Potential,True
MUZAFFARNAGAR,BUDHANA,9020603506,GOVT INTER COLLEGE GARHI SHEKHAWATPUR BUDHANA MUZAFFARNAGAR,567,607,7.05,9.57,YELLOW,True,True,False,3,Medium Potential,True
MUZAFFARNAGAR,BUDHANA,9020603404,GOVT. HIGH SCHOOL LOI,26,55,111.54,12.24,YELLOW,True,False,False,3,Medium Potential,True
MUZAFFARNAGAR,JANSATH,9021200814,GOVERNMENT INTER COLLEGE KAWAL,184,344,86.96,5.2,YELLOW,True,True,False,3,Medium Potential,True
MUZAFFARNAGAR,JANSATH,9021201906,GOVT INTER COLLEGE MEHALKI   MUZAFFARNAGAR,121,174,43.8,21.68,YELLOW,False,True,False,3,Medium Potential,True
MUZAFFARNAGAR,JANSATH,9021203406,PANDIT DEEN DAYAL UPADHYAY RAJKIYA INTER COLLEGE KASAMPUR KHOLA MZN,58,142,144.83,23.48,YELLOW,False,True,False,3,Medium Potential,True
MUZAFFARNAGAR,PURKAJI,9020404613,PANDIT DEEN DAYAL UPADHYAY RAJKIYA INTER COLLEGE KHAI KHERI MZN,52,79,51.92,16.18,ORANGE,False,True,False,3,Medium Potential,True
MUZAFFARNAGAR,SADAR,9020104012,GOVT INTER COLLEGE BAHADARPUR,31,199,541.94,33.56,YELLOW,False,True,False,3,Medium Potential,True
MUZAFFARNAGAR,SHAHPUR,9020503915,GOVT INTER COLLEGE PURBALIYA,73,75,2.74,0.0,YELLOW,True,True,False,3,Medium Potential,True
AMBEDKAR NAGAR,BASKHARI,9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,43,50,16.28,127.27,ORANGE,True,False,False,3,Medium Potential,True
PILIBHIT,MARORI,9210603605,GOVERNMENT HIGH SCHOOL JAMUNIA MARORI PILIBHIT,87,99,13.79,35.62,RED,True,False,False,3,Medium Potential,True
AMBEDKAR NAGAR,BHIYAON,9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,76,129,69.74,81.69,YELLOW,True,False,False,3,Medium Potential,True
PILIBHIT,PURANPUR,9210721503,GOVERNMENT HIGH SCHOOL MURAINA GAURI PURANPUR,38,50,31.58,108.33,ORANGE,True,False,False,3,Medium Potential,True
PRATAPGARH,AASPUR-DEOSARA,9430103805,G H S S DHARAHARA,69,103,49.28,18.39,YELLOW,True,False,False,3,Medium Potential,True
PRATAPGARH,AASPUR-DEOSARA,9430100103,"GOVT. H.S.S, ATRAURA",29,48,65.52,118.18,YELLOW,True,False,False,3,Medium Potential,True
PRATAPGARH,AASPUR-DEOSARA,9430107403,GOVT. HIGHER SECONDARY SCHOOL,72,96,33.33,18.52,YELLOW,True,False,False,3,Medium Potential,True
PRATAPGARH,AASPUR-DEOSARA,9430106703,Pt Deendayal Upadhyay Govt Model Inter College Mahuli Aspur Devsara,65,143,120.0,26.55,YELLOW,False,True,False,3,Medium Potential,True
PRATAPGARH,AASPUR-DEOSARA,9430100605,S.C.B.S.J.M.G.G.I.C.,166,174,4.82,5.45,YELLOW,False,True,False,3,Medium Potential,True
PRATAPGARH,GAURA,9431805403,GOVT. GIRLS INTER COLLEGE,80,176,120.0,37.5,YELLOW,False,True,False,3,Medium Potential,True
PRATAPGARH,GAURA,9431803304,"GOVT. H.S. SCHOOL, DAMDAM, PRATAPGARH",88,100,13.64,13.64,YELLOW,True,False,False,3,Medium Potential,True
PRATAPGARH,GAURA,9431808606,GOVT. HIGHER SECONDRY SCHOOL SULTANPUR,164,194,18.29,13.45,YELLOW,True,False,False,3,Medium Potential,True
PRATAPGARH,KALAKANKER,9430607106,GOVT. H.S. SCHOOL VAZIDPUR KALAKANKAR PRATAPGARH,47,48,2.13,37.14,YELLOW,True,False,False,3,Medium Potential,True
PRATAPGARH,KALAKANKER,9430604504,Pt Deendayal Upadhyay Govt Model Inter College Murassapur Kalakankar,83,121,45.78,19.8,YELLOW,False,True,False,3,Medium Potential,True
PRATAPGARH,LAXMANPUR,9430906504,GOVT. HIGHER SEC. SCHOOL SHEETAL PATTI,60,93,55.0,116.28,YELLOW,True,False,False,3,Medium Potential,True
PRATAPGARH,PATTI,9431203636,RAM AZOR CHAURSIYA  R.B. I.C. PATTI PRATAPGARH,117,121,3.42,6.14,YELLOW,False,True,False,3,Medium Potential,True
PRATAPGARH,SADWA-CHANDRIKA,9431505603,GOVT. H.S.S. LOHANG PATTI  PRATAPGARH,86,129,50.0,12.17,YELLOW,True,False,False,3,Medium Potential,True
PRATAPGARH,SANGIPUR,9431401003,GOVERNMENT HIGHER SECONDARY SCHOOL,24,48,100.0,17.07,YELLOW,True,False,False,3,Medium Potential,True
AMBEDKAR NAGAR,BHIYAON,9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,193,513,165.8,8.69,YELLOW,True,True,False,3,Medium Potential,True
PRAYAGRAJ,BAHARIYA,9451904506,PT D.D.U.G.M.INTER COLLEGE,307,429,39.74,36.62,YELLOW,True,True,False,3,Medium Potential,True
PRAYAGRAJ,DHANUPUR,9451501409,GOVERNMENT GIRLS INTER COLLEGE,100,164,64.0,23.31,GREEN,False,True,False,3,Medium Potential,True
PRAYAGRAJ,NAGAR CHHETRA,9452200413,G.G.I.C. OLD KATARA,170,218,28.24,6.86,ORANGE,False,True,False,3,Medium Potential,True
PRAYAGRAJ,PRATAP PUR,9450403504,RAJKIYA U M VIDHAYALAYA CHANETHU PRATAPPUR,75,99,32.0,25.32,YELLOW,True,False,False,3,Medium Potential,True
PRAYAGRAJ,URUWA,9452100117,GOVERNMENT GIRLS HIGH SCHOOL SIRSA,52,59,13.46,25.53,ORANGE,True,False,False,3,Medium Potential,True
RAE BARELI,GAURA,9281002306,"GOVT. HIGHER SECONDARY SCHOOL, JALAL PUR DHAI",101,135,33.66,10.66,ORANGE,True,False,False,3,Medium Potential,True
RAE BARELI,JAGATPUR,9281100109,"GOVT. HIGHER SECONDARY SCHOOL, JAGATPUR",59,85,44.07,30.77,YELLOW,True,False,False,3,Medium Potential,True
RAE BARELI,KHIRON,9280802702,PT DEEN DAYAL UPADHYAY MODEL INTER COLLEGE HARIPUR NIHASTHA,85,88,3.53,-12.0,YELLOW,True,True,False,3,Medium Potential,True
RAE BARELI,MAHRAJGANJ,9280601705,PT. DEEN DAYAL UPADDHYAY  RAJKIYA MODEL INTER COLLEGE,263,403,53.23,22.12,YELLOW,True,True,False,3,Medium Potential,True
RAE BARELI,NAGAR SHETRA (RBL),9282208603,GOVT. INTER COLLEGE,882,961,8.96,9.7,RED,True,True,False,3,Medium Potential,True
RAE BARELI,RAHI,9280103704, GOVT. HIGH SCHOOL SANAHI,105,152,44.76,24.59,YELLOW,True,False,False,3,Medium Potential,True
RAE BARELI,ROHANIYA,9281200803,PT DEEN DAYAL UPADHYAY MODEL INTER COLLEGE,71,169,138.03,15.75,YELLOW,False,True,False,3,Medium Potential,True
RAE BARELI,SARENI,9282100106,GOVERNMENT HIGH SCHOOL PURE TRIVEDI,83,98,18.07,36.11,YELLOW,True,False,False,3,Medium Potential,True
RAMPUR,CHAMRAUVA,9050402710,GOVT HSS CHAMRAUVA,57,141,147.37,29.36,YELLOW,True,False,False,3,Medium Potential,True
RAMPUR,CHAMRAUVA,9050410802,"GOVT INTER COLLEGE, MANKARA, BLOCK CHAMRAUVA SADAR RAMPUR",137,439,220.44,12.56,YELLOW,True,True,False,3,Medium Potential,True
RAMPUR,CHAMRAUVA,9050409918,PT.DEEN DYAL UPADHYAY GOVT. MODEL IC KAKRAUVA,577,675,16.98,19.26,YELLOW,True,True,False,3,Medium Potential,True
RAMPUR,SAID NAGAR,9050613601,GOVT INTER COLLEGE MOHAMMADPUR SHUMALI,14,109,678.57,53.52,YELLOW,False,True,False,3,Medium Potential,True
RAMPUR,SHAHBAD,9050111403,GOVT HSS SHAHPUR DEV,49,81,65.31,12.5,YELLOW,True,False,False,3,Medium Potential,True
