District,Block,School_ID,School_Name,Overall_Growth_pct,Boys_Growth_pct,Girls_Growth_pct,C8_Change_pct,C9_Change_pct,C10_Change_pct,C11_Change_pct,C12_Change_pct,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag
MATHURA,MATHURA,9140104518,PT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE JAIT,49.13,75.86,22.09,-100.0,135.71,-15.56,134.09,2.0,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
BHADOI,AURAI,9710409703,GOVT. HIGH SCHOOL CHAKLALA,48.37,45.33,50.46,,28.18,78.38,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
CHANDAULI,CHANDAULI,9660109602,GHS TRIBHUVANPUR,48.1,67.39,21.21,,90.62,19.15,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
KANSHIRAM NAGAR,AMAPUR,9720210607,Pt Deendayal Upadhyay Govt Model Inter College Tharachitra,47.68,29.26,78.26,107.32,26.92,-8.33,157.14,53.85,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
MAINPURI,GHIROR,9180206802,Late S.R.V.S.YADAV GOVERMENT INTER COLLEGE NAGLA HAAR,47.62,25.93,86.67,,31.82,50.0,216.67,-10.0,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
VARANASI,PINDRA,9670814902,GOVT. HIGH SCHOOL CHITAIEPUR,47.56,38.89,54.35,,55.81,38.46,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
VARANASI,SEWAPURI,9670404905,GOVT. HIGHSCHOOL LALPUR,47.44,30.0,65.79,,72.09,17.14,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BASTI,BAHADURPUR,9550108106,GOVT HRSEC KHALIL PATTI,47.37,60.0,39.13,,112.5,0.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BHADOI,SURIYAVAN,9710316203,GOVT. HIGH SCHOOL LALIPUR,47.27,18.03,83.67,,65.45,29.09,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
KHERI,ISANAGAR,9230402904,govt.h.s hasan pur katauli,46.75,64.04,27.5,,70.79,20.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
