District,Block,School_ID,School_Name,Total_2223,Total_2324,Total_2425,Total_2526,Size_Tag,Size_Trend,Closure_Risk_Score,Closure_Risk_Tag
MATHURA,RAYA,9140802703,GOVT HIGH SCHOOL BISAVALI,41,51,41,30,Very Small,Fluctuating,3,High Risk
MATHURA,RAYA,9140803903,GOVT HIGH SCHOOL LOHAGARH,81,60,43,39,Very Small,Getting Smaller,4,Critical
MAU,BADRAW,9620703908,GOVT BALIKA INTER COLL MUJAR BUJURG,53,48,21,22,Micro School,Fluctuating,3,High Risk
MAU,RATANPURA,9620104805,GOVT HSS JAMDARA,17,15,12,14,Micro School,Fluctuating,3,High Risk
MEERUT,KHARKHODA,9070303902,GOVT. HIGH SCH. PIPLI KHEDA,156,140,128,121,Small School,Getting Smaller,3,High Risk
MEERUT,MEERUT NAGAR,9071300918,SPARSH RAJKIYA DRASHTIBADHIT BALAK I.C.,66,64,50,42,Very Small,Getting Smaller,4,Critical
MEERUT,PARIKSHIT GARH,9071107102,GOVT. HIGH SCHOOL T. JANUBI,106,95,94,87,Small School,Getting Smaller,3,High Risk
MEERUT,ROHTA,9070501502,GOVT. H S BADAM,59,26,31,33,Very Small,Fluctuating,3,High Risk
MEERUT,SARURPUR,9070700904,GOVT. HIGH SCH. DHANWALI / DAHAR,16,10,9,16,Micro School,Fluctuating,3,High Risk
MIRZAPUR,HALIA,9690209405,GOVT. U.M.V. MATWAR,32,28,22,29,Very Small,Fluctuating,3,High Risk
MIRZAPUR,PAHARI,9690401106,GOVT. HIGH SCHOOL DATI,163,145,123,94,Small School,Getting Smaller,3,High Risk
MIRZAPUR,PAHARI,9690405306,"SAMAJWADI ABHINAV VIDYALAYA, BHOJPUR PAHARI",65,43,38,23,Micro School,Getting Smaller,4,Critical
MORADABAD,THAKURDWARA,9041212602,GOVT.HIGH SCHOOL TANDA AFJAL,31,40,30,24,Micro School,Fluctuating,3,High Risk
MUZAFFARNAGAR,BAGHRA,9020204408,GOVT.HIGHE SCHOOL KUTBI,86,82,71,60,Small School,Getting Smaller,3,High Risk
MUZAFFARNAGAR,CHARTHAWAL,9020303907,GOVT INTER COLLEGE MUTHRA   MUZAFFARNAGAR,110,82,74,58,Small School,Getting Smaller,3,High Risk
MUZAFFARNAGAR,JANSATH,9021205204,GOVT. HIGH SCHOOL HUSAINPUR KHADAR,66,38,42,48,Very Small,Fluctuating,3,High Risk
MUZAFFARNAGAR,KHATAULI,9021400115,GOVT.HIGH SCHOOL NAVLA,192,147,115,113,Small School,Getting Smaller,3,High Risk
MUZAFFARNAGAR,PURKAJI,9020400704,GOV. HIGH SCHOOL KASAMPUR,34,23,34,38,Very Small,Fluctuating,3,High Risk
MUZAFFARNAGAR,PURKAJI,9020402209,GOVT.HIGH SCHOOL TEJALHERA,84,80,65,50,Very Small,Getting Smaller,3,High Risk
MUZAFFARNAGAR,SADAR,9020100607,GOVT HIGH SCHOOL RAI,47,55,45,30,Very Small,Fluctuating,3,High Risk
MUZAFFARNAGAR,SHAHPUR,9020500408,GOVT. HIGHSCHOOL DHINDHAVALI (SHAHPUR),36,30,34,28,Very Small,Fluctuating,3,High Risk
PILIBHIT,PURANPUR,9210701303,GOVERNMENT HIGH SCHOOL KHIRKIYAN BARGADIYA PURANPUR PILIBH,79,77,71,68,Small School,Getting Smaller,3,High Risk
PRATAPGARH,SHIVGARH,9431707903,GOVT. HIGHER SECONDRY SCHOOL HARNAHPUR,48,42,27,42,Very Small,Fluctuating,3,High Risk
PRAYAGRAJ,CHAKA,9451300803,RAJKIYA U.M.V. MOHABBAT GANJ,167,156,143,131,Small School,Getting Smaller,3,High Risk
PRAYAGRAJ,KORAON,9451010913,RAJKIYA U M VIDHYALAYA KHIRI KORAON PRAYAGRAJ,170,166,160,136,Small School,Getting Smaller,3,High Risk
PRAYAGRAJ,MANDA,9451604004,RAJKIYA U.M.V. DIGHIYA,269,173,172,135,Small School,Getting Smaller,3,High Risk
RAE BARELI,CHHATOH,9282401707,GOV. GIRLS HIGHER SECONDERY CHHATOH,48,37,34,32,Very Small,Getting Smaller,4,Critical
RAE BARELI,HARCHANDPUR,9280302307,"G.G. HIGHER SECONDARY SCHOOL, PASCHIM GAON",73,60,58,53,Small School,Getting Smaller,3,High Risk
RAE BARELI,SHIVGARH,9280500703,"G.G.HIGHER SECONDARY SCHOOL, OSAAH",215,211,201,170,Small School,Getting Smaller,3,High Risk
RAMPUR,BILASPUR,9050211003,GOVT HSS AHRO BILASHPUR,88,81,55,36,Very Small,Getting Smaller,4,Critical
RAMPUR,BILASPUR,9050209107,"GOVT INTER COLLEGE MANUNAGAR, BILASPUR",56,53,52,45,Very Small,Getting Smaller,4,Critical
RAMPUR,TOWN AREA RAMPUR,9050703909,GOVT ORIENTAL COLLEGE RAMPUR,1,1,8,6,Ghost School,Fluctuating,3,High Risk
SAHARANPUR,BALIA KHEDI,9010802912,RAJKIYA HIGH SCHOOL SABDALPUR,115,105,69,62,Small School,Getting Smaller,3,High Risk
SAHARANPUR,DEOBAND,9010506007,GOVT.HIGH SCHOOL DIVALHEDI,48,34,23,36,Very Small,Fluctuating,3,High Risk
