District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
ETAWAH,MAHEWA,9310201706,GOVT UMV LUDHIYANI,W1,ENROLLMENT CRASH,CRITICAL,-33.5,-20,2025-26
ETAWAH,MAHEWA,9310201706,GOVT UMV LUDHIYANI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-34.5,-20,2025-26
FAIZABAD,AYODHYA TOWN AREA,9471501703,"RAJKIYA INTER COLLEGE, FAIZABAD",W3,GIRLS ENROLLMENT CRASH,CRITICAL,-100.0,-20,2025-26
FAIZABAD,AYODHYA TOWN AREA,9471501703,"RAJKIYA INTER COLLEGE, FAIZABAD",W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
FAIZABAD,PURA,9470810609,GOVERNMENT HIGH SCHOOL BHADAULI,W1,ENROLLMENT CRASH,CRITICAL,-25.9,-20,2025-26
FAIZABAD,PURA,9470810609,GOVERNMENT HIGH SCHOOL BHADAULI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-21.1,-20,2025-26
FAIZABAD,TARUN,9471101610,G . G . H . S . SCHOOL,W1,ENROLLMENT CRASH,CRITICAL,-37.8,-20,2025-26
FAIZABAD,TARUN,9471101610,G . G . H . S . SCHOOL,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-37.8,-20,2025-26
FAIZABAD,TARUN,9471101610,G . G . H . S . SCHOOL,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
FATEHPUR,ASHOTHAR,9420900402,RAJKIYA U.M.V.ADAMPUR SAIBSI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-27.3,-20,2025-26
FATEHPUR,BAHUA,9420705004,RAJKIYE H.S.MAHNA,W1,ENROLLMENT CRASH,CRITICAL,-23.3,-20,2025-26
FATEHPUR,BAHUA,9420705004,RAJKIYE H.S.MAHNA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-36.4,-20,2025-26
FATEHPUR,BAHUA,9420705004,RAJKIYE H.S.MAHNA,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
FATEHPUR,MALAWAN,9420410514,GOVT. H.S SCHOOL DEEGH,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-25.5,-20,2025-26
FATEHPUR,NAGAR FATEHPUR,9421400627,RAJKIYE U.M.VIDAYALAYE ANDULI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-45.5,-20,2025-26
FIROZABAD,SHIKOHABAD,9160202503,GOVT. INTER COLLEGE NASIRPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
GHAZIPUR,MANIHARI,9650211707,GOVT GIRLS. U.M.V. BUZURGA,W1,ENROLLMENT CRASH,CRITICAL,-25.9,-20,2025-26
GHAZIPUR,MANIHARI,9650211707,GOVT GIRLS. U.M.V. BUZURGA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-25.9,-20,2025-26
GHAZIPUR,MANIHARI,9650211707,GOVT GIRLS. U.M.V. BUZURGA,W5,CONTINUITY COLLAPSE,CRITICAL,40.0,60,2025-26
GHAZIPUR,MANIHARI,9650211707,GOVT GIRLS. U.M.V. BUZURGA,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
GHAZIPUR,MANIHARI,9650215604,RAJKIYA U.M.V MADHUBAN GHAZIPUR,W1,ENROLLMENT CRASH,CRITICAL,-25.5,-20,2025-26
GHAZIPUR,MANIHARI,9650215604,RAJKIYA U.M.V MADHUBAN GHAZIPUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-48.5,-20,2025-26
GONDA,BELSAR,9531204906,G. H. S. AKAUNI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-26.7,-20,2025-26
GONDA,COLONELGANJ,9531502404,G.H.S. RAMPUR TEPRA,W1,ENROLLMENT CRASH,CRITICAL,-26.0,-20,2025-26
GONDA,COLONELGANJ,9531502404,G.H.S. RAMPUR TEPRA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-29.3,-20,2025-26
GONDA,JHANJHRI,9530905604,ABHINAV VIDYALAY KANSAPUR,W5,CONTINUITY COLLAPSE,CRITICAL,0.0,60,2025-26
GONDA,JHANJHRI,9530914403,G.H.S. DAULATPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,9,8,2025-26
GORAKHPUR,PIPRAULI,9580104003,GOVT. HIGH SCHOOL KOLHUI PIPRAULI,W1,ENROLLMENT CRASH,CRITICAL,-20.5,-20,2025-26
GORAKHPUR,PIPRAULI,9580104003,GOVT. HIGH SCHOOL KOLHUI PIPRAULI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-23.1,-20,2025-26
GORAKHPUR,PIPRAULI,9580104003,GOVT. HIGH SCHOOL KOLHUI PIPRAULI,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
GORAKHPUR,SAHJANWA,9580500106,RAJKIY H. SCHOOL SIHAPAAR SAHJANWA,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
HAMIRPUR (U.P.),SARILA,9380707109,GIC SARILA,W1,ENROLLMENT CRASH,CRITICAL,-26.1,-20,2025-26
HAMIRPUR (U.P.),SARILA,9380706602,GOVT HS BAUKHAR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-29.6,-20,2025-26
HAMIRPUR (U.P.),SUMERPUR,9380201604,GOVT HSS TERHA,W1,ENROLLMENT CRASH,CRITICAL,-20.6,-20,2025-26
HAMIRPUR (U.P.),SUMERPUR,9380201604,GOVT HSS TERHA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-30.4,-20,2025-26
HAMIRPUR (U.P.),SUMERPUR,9380201604,GOVT HSS TERHA,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,9750800405,GOVT INTER COLLEGE SHERPUR  HAPUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-31.2,-20,2025-26
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,9750800405,GOVT INTER COLLEGE SHERPUR  HAPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,9750705303,GOVERENMENT INTER COLLEGE MURADPUR HAPUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-34.3,-20,2025-26
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,9750705303,GOVERENMENT INTER COLLEGE MURADPUR HAPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
HARDOI,BILGRAM,9251706507,GOVT. H.S.S. RAHULA BILGRAM,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
HARDOI,MALLAWA,9250800605,ADARSH SHRISAD BAJIGANJ MALLAWAN,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-33.3,-20,2025-26
HARDOI,MALLAWA,9250800605,ADARSH SHRISAD BAJIGANJ MALLAWAN,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
HARDOI,SHAHABAD,9251104105,R.U.M.V. BILHARI,W1,ENROLLMENT CRASH,CRITICAL,-38.8,-20,2025-26
HARDOI,SHAHABAD,9251104105,R.U.M.V. BILHARI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-54.2,-20,2025-26
HARDOI,SHAHABAD,9251104105,R.U.M.V. BILHARI,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
HARDOI,TANDIYAWA,9250909302,GOVT H.S.S. SARIPURCHACHETA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-46.3,-20,2025-26
HATHRAS,SIKANDRA RAO,9130504604,GOV HIGH SCHOOL PACHAYTA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-31.7,-20,2025-26
JALAUN,DAKOR,9350104105,GOVT. HSS AIR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-35.9,-20,2025-26
JALAUN,KADAURA,9350301408,GOVT. HSS CHHAUNK,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
JAUNPUR,KARANJA KALA,9640406208,GOVT. H.S. AARA,W10,MULTI-RISK ENROLLMENT,CRITICAL,9,8,2025-26
JHANSI,BAMORE,9360207306,ABHINAV VIDAHAYALA KURAITHA ,W1,ENROLLMENT CRASH,CRITICAL,-64.7,-20,2025-26
JHANSI,BAMORE,9360207306,ABHINAV VIDAHAYALA KURAITHA ,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-58.8,-20,2025-26
JHANSI,BAMORE,9360207306,ABHINAV VIDAHAYALA KURAITHA ,W5,CONTINUITY COLLAPSE,CRITICAL,0.0,60,2025-26
JHANSI,BAMORE,9360207306,ABHINAV VIDAHAYALA KURAITHA ,W10,MULTI-RISK ENROLLMENT,CRITICAL,13,8,2025-26
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,9061809103,RAJKIYA HIGH SCHOOL HASANPUR KATIA,W1,ENROLLMENT CRASH,CRITICAL,-28.1,-20,2025-26
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,9061809103,RAJKIYA HIGH SCHOOL HASANPUR KATIA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-29.8,-20,2025-26
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,9061909008,RAJKIYA H.S. DYOTI,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,9061600706,RAJKIYA H.S. RAHRAI,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
