District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
BASTI,DUBAULIA,9551500106,GOVT GIRLS HR SEC MAHULANI,72,64,94,104,True,2023-24,64,40,62.5,Strong Recovery,Strong
BASTI,DUBAULIA,9551500107,GOVT HR SEC RAMVAPUR RAJA,46,37,46,68,True,2023-24,37,31,83.78,Strong Recovery,Strong
BASTI,HARRIYA,9551306804,GOVT HR SEC INDAULI,63,62,79,125,True,2023-24,62,63,101.61,Strong Recovery,Strong
BASTI,HARRIYA,9551313204,GOVT HR SEC VIDYALY BARAHPUR,68,44,61,103,True,2023-24,44,59,134.09,Strong Recovery,Strong
BASTI,KUDRAHA,9551000904,GOVT HR SEC PARSANVA,32,29,49,45,True,2023-24,29,16,55.17,Full Recovery,Strong
BASTI,PARSHURAMPUR,9551207605,GOVT HIGH SEC SIKANDERPUR,224,197,233,248,True,2023-24,197,51,25.89,Strong Recovery,Strong
BASTI,SALTOVA GOPALPUR,9550602507,GOVT HR SEC AJGAIVA JUNGLE,107,92,115,111,True,2023-24,92,19,20.65,Full Recovery,Strong
BASTI,VIKRAMJOT,9550905007,GOVT KANYA INTER COLL SONVARSHA BASTI,90,66,95,122,True,2023-24,66,56,84.85,Strong Recovery,Strong
BHADOI,AURAI,9710409703,GOVT. HIGH SCHOOL CHAKLALA,184,246,276,273,True,2022-23,184,89,48.37,Full Recovery,Strong
BHADOI,BHADOHI,9710126702,GOVT. HIGH SCHOOL BABHANAUTI,180,204,231,219,True,2022-23,180,39,21.67,Full Recovery,Strong
BHADOI,BHADOHI,9710114304,GOVT. HIGH SCHOOL BHAGWANPUR KANEHARI,77,76,93,108,True,2023-24,76,32,42.11,Strong Recovery,Strong
BHADOI,BHADOHI,9710100704,GOVT. HIGH SCHOOL YAKOOBPUR,57,50,65,76,True,2023-24,50,26,52.0,Strong Recovery,Strong
BHADOI,DEEGH,9710510103,GOVT. HIGH SCHOOL CHANDAPUR,38,41,27,41,True,2024-25,27,14,51.85,Full Recovery,Strong
BHADOI,DEEGH,9710519205,KASTURBA GANDHI GOVT. HIGH SCHOOL VAHIDANAGAR,42,31,46,53,True,2023-24,31,22,70.97,Strong Recovery,Strong
BHADOI,GYANPUR,9710207607,GOVT. HIGH SCHOOL KASIDAHA,108,105,106,125,True,2023-24,105,20,19.05,Strong Recovery,Moderate
BHADOI,SURIYAVAN,9710307204,GOVT. HIGH SCHOOL ARJUNPUR,102,105,127,121,True,2022-23,102,19,18.63,Full Recovery,Moderate
BHADOI,SURIYAVAN,9710309603,GOVT. HIGH SCHOOL HARIHARPUR,129,110,119,155,True,2023-24,110,45,40.91,Strong Recovery,Strong
BHADOI,SURIYAVAN,9710316203,GOVT. HIGH SCHOOL LALIPUR,110,106,128,162,True,2023-24,106,56,52.83,Strong Recovery,Strong
BIJNOR,AAKU(NEHTOR),9030310602,GOVT GIRLS INTER COLLEGE,468,441,464,484,True,2023-24,441,43,9.75,Strong Recovery,Weak
BIJNOR,AAKU(NEHTOR),9030307205,RAJKIYA HIGHI SCHOOL MATORA MAN,48,34,41,53,True,2023-24,34,19,55.88,Strong Recovery,Strong
BIJNOR,AFZALGRAH,9030102412,GOVT GIRLS INTER COLLEGE SUAWALA BIJNOR,84,164,164,159,True,2022-23,84,75,89.29,Full Recovery,Strong
BIJNOR,AFZALGRAH,9030105703,RAJKIYA HIGHI SCHOOL JAFARABAD,44,38,42,52,True,2023-24,38,14,36.84,Strong Recovery,Strong
BIJNOR,ALLHEPUR(DHAMPUR),9030205805,RAJKIYA HIGHI SCHOOL,128,131,130,133,True,2022-23,128,5,3.91,Full Recovery,Weak
