District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Peak_Year,Peak_Value,Trough_Year,Trough_Value,Post_Peak_Loss_pct,Peak_Tag
BASTI,BAHADURPUR,9550108107,GOVT HR SEC BEILI BAHADURPUR,42,90,85,79,2023-24,90,2022-23,42,112.22,Post Peak Severe
BASTI,BAHADURPUR,9550103003,GOVT HR SEC KALWARI EHATMALI,125,135,168,187,2025-26,187,2022-23,125,0.0,Peak Now
BASTI,BAHADURPUR,9550102104,GOVT HR SEC KURHAPATTI DARIYANV,27,27,52,53,2025-26,53,2022-23,27,0.0,Peak Now
BASTI,BAHADURPUR,9550108106,GOVT HRSEC KHALIL PATTI,76,73,84,112,2025-26,112,2023-24,73,0.0,Peak Now
BASTI,BASTI SADAR,9550713201,GOVT HR SEC KHAKUWA,73,62,70,79,2025-26,79,2023-24,62,0.0,Peak Now
BASTI,DUBAULIA,9551500105,GOVT GIRLS H.S. GOPALPUR UNJI BASTI,34,16,29,52,2025-26,52,2023-24,16,0.0,Peak Now
BASTI,DUBAULIA,9551500106,GOVT GIRLS HR SEC MAHULANI,72,64,94,104,2025-26,104,2023-24,64,0.0,Peak Now
BASTI,DUBAULIA,9551500107,GOVT HR SEC RAMVAPUR RAJA,46,37,46,68,2025-26,68,2023-24,37,0.0,Peak Now
BASTI,GAUR,9550518731,ABHINAV VIDYALAYA BABHNAN,92,97,130,170,2025-26,170,2022-23,92,0.0,Peak Now
BASTI,GAUR,9550518709,GOVT HR SEC PIPRAHIA,88,64,60,55,2022-23,88,2025-26,55,137.5,Post Peak Severe
BASTI,GAUR,9550518707,GOVT HR SEC VIDYALAY MEHDIYA KHADAK BAHADUR SINGH,65,36,32,38,2022-23,65,2024-25,32,141.54,Recovering
BASTI,GAUR,9550518708,GOVT KANYA INTER COL KACHIYA,182,120,132,122,2022-23,182,2023-24,120,132.97,Post Peak Severe
BASTI,HARRIYA,9551306804,GOVT HR SEC INDAULI,63,62,79,125,2025-26,125,2023-24,62,0.0,Peak Now
BASTI,HARRIYA,9551313204,GOVT HR SEC VIDYALY BARAHPUR,68,44,61,103,2025-26,103,2023-24,44,0.0,Peak Now
BASTI,KAPTANGANJ,9550218502,GOVT HR SEC SCHOOL SIKTA BASTI,54,58,93,111,2025-26,111,2022-23,54,0.0,Peak Now
BASTI,KUDRAHA,9551000904,GOVT HR SEC PARSANVA,32,29,49,45,2024-25,49,2023-24,29,108.16,Recently Peaked
BASTI,PARSHURAMPUR,9551207605,GOVT HIGH SEC SIKANDERPUR,224,197,233,248,2025-26,248,2023-24,197,0.0,Peak Now
BASTI,PARSHURAMPUR,9551209803,PANDIT DEEN DAYAL UPADHYAY RAJKEEYA MODEL INTER COLLEGE SHRINGINAARI BASTI,506,422,420,437,2022-23,506,2024-25,420,113.64,Recovering
BASTI,RUDHOLI,9550314108,PANDIT DEEN DAYAL UPADHYAY RAJKEEYA MODEL INTER COLLEGE GOTHWA BASTI,517,486,485,492,2022-23,517,2024-25,485,104.84,Recovering
BASTI,SALTOVA GOPALPUR,9550602507,GOVT HR SEC AJGAIVA JUNGLE,107,92,115,111,2024-25,115,2023-24,92,103.48,Recently Peaked
BASTI,TOWN AREA,9551404605,GOVT INTER COLLEGE BASTI,415,392,370,292,2022-23,415,2025-26,292,129.64,Post Peak Severe
BASTI,TOWN AREA,9551404606,GOVT KANYA INTER COLL BASTI,1083,1094,978,880,2023-24,1094,2025-26,880,119.56,Post Peak Severe
BASTI,VIKRAMJOT,9550905007,GOVT KANYA INTER COLL SONVARSHA BASTI,90,66,95,122,2025-26,122,2023-24,66,0.0,Peak Now
BHADOI,ABHOLI,9710700106,GOVT. HIGH SCHOOL ABHOLI,164,124,120,128,2022-23,164,2024-25,120,121.95,Recovering
BHADOI,ABHOLI,9710700803,GOVT. HIGH SCHOOL KURHWA,84,64,52,70,2022-23,84,2024-25,52,116.67,Recovering
BHADOI,ABHOLI,9710702304,GOVT. HIGH SCHOOL RAMNAGAR,160,161,152,152,2023-24,161,2024-25,152,105.59,Post Peak Severe
BHADOI,ABHOLI,9710703203,GOVT. HIGH SCHOOL SADAUPUR,94,106,117,153,2025-26,153,2022-23,94,0.0,Peak Now
BHADOI,AURAI,9710421604,GOVT. GIRLS INTER COLLEGE JAGANNATHPUR,222,216,215,216,2022-23,222,2024-25,215,102.7,Recovering
BHADOI,AURAI,9710424903,GOVT. HIGH SCHOOL BARJI,66,76,107,111,2025-26,111,2022-23,66,0.0,Peak Now
BHADOI,AURAI,9710403802,GOVT. HIGH SCHOOL CHAKJURAVAN,109,189,247,274,2025-26,274,2022-23,109,0.0,Peak Now
BHADOI,AURAI,9710409703,GOVT. HIGH SCHOOL CHAKLALA,184,246,276,273,2024-25,276,2022-23,184,101.09,Recently Peaked
BHADOI,AURAI,9710405002,GOVT. HIGH SCHOOL CHAKVEERA,156,114,62,94,2022-23,156,2024-25,62,139.74,Recovering
BHADOI,AURAI,9710411704,GOVT. HIGH SCHOOL JHAUVA,66,83,95,110,2025-26,110,2022-23,66,0.0,Peak Now
BHADOI,AURAI,9710401504,GOVT. HIGH SCHOOL LALANAGAR,146,186,237,282,2025-26,282,2022-23,146,0.0,Peak Now
BHADOI,AURAI,9710405904,GOVT. HIGH SCHOOL SAMDHA,117,119,156,177,2025-26,177,2022-23,117,0.0,Peak Now
BHADOI,AURAI,9710428804,P.D.D.U. GOVT. GIRLS INTER COLLEGE MAHARAJGANJ,640,615,597,582,2022-23,640,2025-26,582,109.06,Post Peak Severe
BHADOI,AURAI,9710410107,Pt Deendayal Upadhyay Govt Model Inter College girdbadganv bhadohi,237,389,548,645,2025-26,645,2022-23,237,0.0,Peak Now
BHADOI,BHADOHI,9710117503,GOVT. HIGH SCHOOL AJAYPUR,115,81,82,71,2022-23,115,2025-26,71,138.26,Post Peak Severe
BHADOI,BHADOHI,9710126702,GOVT. HIGH SCHOOL BABHANAUTI,180,204,231,219,2024-25,231,2022-23,180,105.19,Recently Peaked
BHADOI,BHADOHI,9710114304,GOVT. HIGH SCHOOL BHAGWANPUR KANEHARI,77,76,93,108,2025-26,108,2023-24,76,0.0,Peak Now
BHADOI,BHADOHI,9710111903,GOVT. HIGH SCHOOL HARICHANDANPUR,137,146,190,221,2025-26,221,2022-23,137,0.0,Peak Now
BHADOI,BHADOHI,9710109803,GOVT. HIGH SCHOOL KANDHIYA,175,160,145,129,2022-23,175,2025-26,129,126.29,Post Peak Severe
BHADOI,BHADOHI,9710103503,GOVT. HIGH SCHOOL PARGASPUR,133,92,98,80,2022-23,133,2025-26,80,139.85,Post Peak Severe
BHADOI,BHADOHI,9710119703,GOVT. HIGH SCHOOL SANVAIYA,200,234,275,327,2025-26,327,2022-23,200,0.0,Peak Now
BHADOI,BHADOHI,9710100704,GOVT. HIGH SCHOOL YAKOOBPUR,57,50,65,76,2025-26,76,2023-24,50,0.0,Peak Now
BHADOI,DEEGH,9710514105,GOVT. HIGH SCHOOL BARIPUR,104,111,122,127,2025-26,127,2022-23,104,0.0,Peak Now
BHADOI,DEEGH,9710503303,GOVT. HIGH SCHOOL CHAKMANDHATA,80,109,141,151,2025-26,151,2022-23,80,0.0,Peak Now
BHADOI,DEEGH,9710510103,GOVT. HIGH SCHOOL CHANDAPUR,38,41,27,41,2023-24,41,2024-25,27,100.0,V Shape
BHADOI,DEEGH,9710511303,GOVT. HIGH SCHOOL DASHARAMPATTI,64,64,51,52,2022-23,64,2024-25,51,118.75,Recovering
BHADOI,DEEGH,9710510803,GOVT. HIGH SCHOOL NAGARDAH,37,26,13,14,2022-23,37,2024-25,13,162.16,Recovering
BHADOI,DEEGH,9710519205,KASTURBA GANDHI GOVT. HIGH SCHOOL VAHIDANAGAR,42,31,46,53,2025-26,53,2023-24,31,0.0,Peak Now
BHADOI,DEEGH,9710502905,Pt Deendayal Upadhyay Govt Model Inter College Sagarraipur bhadohi,326,513,688,718,2025-26,718,2022-23,326,0.0,Peak Now
BHADOI,GYANPUR,9710207607,GOVT. HIGH SCHOOL KASIDAHA,108,105,106,125,2025-26,125,2023-24,105,0.0,Peak Now
BHADOI,GYANPUR,9710208906,GOVT. HIGH SCHOOL PALI,172,177,188,202,2025-26,202,2022-23,172,0.0,Peak Now
BHADOI,GYANPUR,9710217803,GOVT. HIGH SCHOOL SARAI MISHRANI,162,169,167,142,2023-24,169,2025-26,142,115.98,Post Peak Severe
BHADOI,GYANPUR,9710222719,SHRI KASHIRAJ RAJAKIYA SANSKRIT MAHAVIDHYALAY GYANPUR BHADOHI ,15,16,32,61,2025-26,61,2022-23,15,0.0,Peak Now
BHADOI,GYANPUR,9710221518,VIBHUTI NARAYAN GOVT. INTER COLLEGE GYANPUR,1938,1944,2048,2079,2025-26,2079,2022-23,1938,0.0,Peak Now
BHADOI,SURIYAVAN,9710311004,GOVT. HIGH SCHOOL ABHIYA,118,114,116,81,2022-23,118,2025-26,81,131.36,Post Peak Severe
BHADOI,SURIYAVAN,9710307204,GOVT. HIGH SCHOOL ARJUNPUR,102,105,127,121,2024-25,127,2022-23,102,104.72,Recently Peaked
BHADOI,SURIYAVAN,9710309603,GOVT. HIGH SCHOOL HARIHARPUR,129,110,119,155,2025-26,155,2023-24,110,0.0,Peak Now
BHADOI,SURIYAVAN,9710316203,GOVT. HIGH SCHOOL LALIPUR,110,106,128,162,2025-26,162,2023-24,106,0.0,Peak Now
BHADOI,SURIYAVAN,9710313603,GOVT. HIGH SCHOOL MAHUAPUR,132,139,177,212,2025-26,212,2022-23,132,0.0,Peak Now
BIJNOR,AAKU(NEHTOR),9030310602,GOVT GIRLS INTER COLLEGE,468,441,464,484,2025-26,484,2023-24,441,0.0,Peak Now
BIJNOR,AAKU(NEHTOR),9030317601,RAJKIYA HIGH SCHOOL NARAYAN KHERI,43,49,58,64,2025-26,64,2022-23,43,0.0,Peak Now
BIJNOR,AAKU(NEHTOR),9030307205,RAJKIYA HIGHI SCHOOL MATORA MAN,48,34,41,53,2025-26,53,2023-24,34,0.0,Peak Now
BIJNOR,AFZALGRAH,9030103004,.RAJKIYA SANT .RAVIDAS AVAM A.HIG.SEC. HAREWALI,67,50,46,83,2025-26,83,2024-25,46,0.0,Peak Now
BIJNOR,AFZALGRAH,9030109405,GOVT ADARSH INTER COLLAGE,423,388,359,299,2022-23,423,2025-26,299,129.31,Post Peak Severe
BIJNOR,AFZALGRAH,9030109406,GOVT GIRLS I.C. AFZALGARH,680,662,657,606,2022-23,680,2025-26,606,110.88,Post Peak Severe
BIJNOR,AFZALGRAH,9030102412,GOVT GIRLS INTER COLLEGE SUAWALA BIJNOR,84,164,164,159,2023-24,164,2022-23,84,103.05,Post Peak Severe
BIJNOR,AFZALGRAH,9030101608,GOVT NAVRATAN INTER COLLAGE,282,252,214,234,2022-23,282,2024-25,214,117.02,Recovering
BIJNOR,AFZALGRAH,9030102505,RAJKIYA ADARSH JANTA INTER COLLEGE SHAHPUR JAMAL ,845,597,581,521,2022-23,845,2025-26,521,138.34,Post Peak Severe
BIJNOR,AFZALGRAH,9030105703,RAJKIYA HIGHI SCHOOL JAFARABAD,44,38,42,52,2025-26,52,2023-24,38,0.0,Peak Now
BIJNOR,ALLHEPUR(DHAMPUR),9030210703,GOVT GIRLS INTER COLLAGE SARKA,228,152,144,124,2022-23,228,2025-26,124,145.61,Post Peak Severe
BIJNOR,ALLHEPUR(DHAMPUR),9030206502,GOVT INTER COLLEGE NANGLA NAINSI DHAMPUR,73,122,260,269,2025-26,269,2022-23,73,0.0,Peak Now
BIJNOR,ALLHEPUR(DHAMPUR),9030205805,RAJKIYA HIGHI SCHOOL,128,131,130,133,2025-26,133,2022-23,128,0.0,Peak Now
BIJNOR,ALLHEPUR(DHAMPUR),9030208202,RAKIYA INTER COLLEGE KUWDI PURA,570,560,515,475,2022-23,570,2025-26,475,116.67,Post Peak Severe
BIJNOR,BIJNOR(NAGAR),9031203905,RAJKIYA INTER COLLEGE BIJNOR,1798,1588,1584,1299,2022-23,1798,2025-26,1299,127.75,Post Peak Severe
BIJNOR,BIJNOR(NAGAR),9031203904,RAJKIYA KANYA INTER COLLEGE,2393,2249,2247,2092,2022-23,2393,2025-26,2092,112.58,Post Peak Severe
BIJNOR,BURHANPUR(SEOHARA),9030401803,RAJKIYA HIGH SCHOOL NARAVALI,69,36,39,66,2022-23,69,2023-24,36,104.35,Recovering
BIJNOR,DHAMPUR(NAGAR),9031401720,GOVT GIRLS INTER COLLEGE FATEHULLA PUR KHAS DHAMPUR,61,61,194,215,2025-26,215,2022-23,61,0.0,Peak Now
BIJNOR,HALDAUR,9030501608,RAJKEEYA GIRLS INTER COLLEGE JHALU,897,850,794,726,2022-23,897,2025-26,726,119.06,Post Peak Severe
BIJNOR,HALDAUR,9030501903,RAJKIYA HIGH SCHOOL BISAT,41,35,33,56,2025-26,56,2024-25,33,0.0,Peak Now
BIJNOR,HALDAUR,9030503603,RAJKIYA HIGH SCHOOL PRATHVIPUR,81,74,72,74,2022-23,81,2024-25,72,108.64,Recovering
BIJNOR,JALILPUR,9030604402,GOVT GRILS INTER COLLEGE LUHARPURA,484,412,398,380,2022-23,484,2025-26,380,121.49,Post Peak Severe
BIJNOR,KIRATPUR,9030704706,G.G.I.C. KIRATPUR,1349,1229,1011,829,2022-23,1349,2025-26,829,138.55,Post Peak Severe
BIJNOR,KIRATPUR,9030708103,RAJKEEY INTER COLLEGE BEGAMPUR SHADI,584,586,605,507,2024-25,605,2025-26,507,116.2,Recently Peaked
BIJNOR,KIRATPUR,9030703406,RAJKIYA HIGHSCHOOL PADALA,92,76,58,49,2022-23,92,2025-26,49,146.74,Post Peak Severe
BIJNOR,KOTWALI,9030801307,GOV. HIGH SCHOOL MUNAWWARPUR SAID,60,42,42,50,2022-23,60,2023-24,42,116.67,Recovering
BIJNOR,KOTWALI,9030811006,GOVE.GIRLS HIGH SCHOOL BUDHAWALA,96,72,58,53,2022-23,96,2025-26,53,144.79,Post Peak Severe
BIJNOR,KOTWALI,9030806511,GOVT GIRL INTER COLLEGE BARHNAPUA,691,575,619,540,2022-23,691,2025-26,540,121.85,Post Peak Severe
BIJNOR,KOTWALI,9030840102,PANDIT DEENDYAL UPADHAYA RAJKIYA MODEL INTER COLEGE BENIPUR KOPA,349,264,257,255,2022-23,349,2025-26,255,126.93,Post Peak Severe
BIJNOR,KOTWALI,9030811315,RAJKIYA HIGH SCHOOL,231,189,177,166,2022-23,231,2025-26,166,128.14,Post Peak Severe
BIJNOR,MOHD.PUR DEVMAL,9030926001,GOVT GIRLS INTER COLLEGE MEERAPUR BANGAR ,182,374,479,494,2025-26,494,2022-23,182,0.0,Peak Now
BIJNOR,MOHD.PUR DEVMAL,9030909303,RAJKIYA HIGH SCHOOL KAJIWALA,56,48,61,60,2024-25,61,2023-24,48,101.64,Recently Peaked
BIJNOR,NAJIBABAD,9031006410,PT DEENDAYAL UPADHAYA RAJKIYE MODEL INTER COLLEGE SABALGARH BIJNOR,277,287,280,221,2023-24,287,2025-26,221,123.0,Post Peak Severe
BIJNOR,NAJIBABAD,9031014203,RAJKIYA HIGH SCHOOL  JATTIWALA,101,109,54,30,2023-24,109,2025-26,30,172.48,Post Peak Severe
BIJNOR,NAJIBABAD,9031006113,RAJKIYA INTER COLLEGE BHAGUWALA,1327,1298,1258,1287,2022-23,1327,2024-25,1258,103.01,Recovering
BIJNOR,NAJIBABAD(NAGAR),9031602431,GOVT INTER COLLEGE,1146,1030,943,890,2022-23,1146,2025-26,890,122.34,Post Peak Severe
BUDAUN,AASAFPUR,9191505203,"GOVT. HS SCHOOL,KORERA",80,66,70,105,2025-26,105,2023-24,66,0.0,Peak Now
BUDAUN,AMBIYAPUR,9191303203,"GOVT. HIGH SCHOOL, SATAITI",114,103,102,94,2022-23,114,2025-26,94,117.54,Post Peak Severe
BUDAUN,BISAULI,9191600142,"GOVT. GIRLS INTER COLLEGE,BISOULI",1126,1064,1052,987,2022-23,1126,2025-26,987,112.34,Post Peak Severe
BUDAUN,BISAULI,9191600150,"GOVT. HIGH SCHOOL, KARANPUR",70,63,52,50,2022-23,70,2025-26,50,128.57,Post Peak Severe
BUDAUN,BISAULI,9191606505,"GOVT. HS SCHOOL,PAPGAOAN",54,48,71,80,2025-26,80,2023-24,48,0.0,Peak Now
BUDAUN,BISAULI,9191603004,PT. DEENDAYAL UPADHAY GOVT. MODEL INTER COLLEGE NOORPUR,585,356,280,234,2022-23,585,2025-26,234,160.0,Post Peak Severe
BUDAUN,BUDAUN CITY,9192100288,GOVT. GIRLS INTER COLLEGE,1047,1094,1050,927,2023-24,1094,2025-26,927,115.27,Post Peak Severe
BUDAUN,BUDAUN CITY,9192100333,GOVT. INTER COLLEGE,691,605,516,423,2022-23,691,2025-26,423,138.78,Post Peak Severe
BUDAUN,DATAGANJ,9190800117,"GOVT. GIRLS INTER COLLEGE, DATAGANJ",1143,1211,1283,1305,2025-26,1305,2022-23,1143,0.0,Peak Now
BUDAUN,DEHGANWAN,9191806202,GOVT INTER COLLEGE NASIRPUR TAPPA MALSAI DEHGANWAN,148,154,123,141,2023-24,154,2024-25,123,108.44,Recovering
BUDAUN,DEHGANWAN,9191806301,"GOVT. HS SCHOOL,DAANPUR",34,57,50,74,2025-26,74,2022-23,34,0.0,Peak Now
BUDAUN,DEHGANWAN,9191802012,"GOVT. INTER COLLEGE, NADHA BHOOR",169,270,327,354,2025-26,354,2022-23,169,0.0,Peak Now
BUDAUN,JAGAT,9190600117,GOVT. HIGH SCHOOL JAGAT,217,207,211,203,2022-23,217,2025-26,203,106.45,Post Peak Severe
BUDAUN,JAGAT,9190601811,"GOVT. HIGH SCHOOL, KHUNAK",121,111,116,138,2025-26,138,2023-24,111,0.0,Peak Now
BUDAUN,JAGAT,9190601915,"GOVT. HS SCHOOL,GURGAWN,JAGAT",107,140,157,155,2024-25,157,2022-23,107,101.27,Recently Peaked
BUDAUN,JAGAT,9190602906,"GOVT. HS SCHOOL,UPERA",54,59,67,67,2024-25,67,2022-23,54,100.0,Recently Peaked
BUDAUN,JAGAT,9190600504,"GOVT. INTER COLLEGE, GABHIYAI",153,179,191,168,2024-25,191,2022-23,153,112.04,Recently Peaked
BUDAUN,MIAUN,9191004103,"GOVT. GIRLS HIGH SCHOOL, MANSA NAGLA",56,39,44,52,2022-23,56,2023-24,39,107.14,Recovering
BUDAUN,QADARCHOWK,9190107203,GOVT INTER COLLEGE CHAUDERA QADARCHOWK,28,50,65,89,2025-26,89,2022-23,28,0.0,Peak Now
BUDAUN,QADARCHOWK,9190102503,"GOVT. HIGH SCHOOL, KADER BARI",107,100,101,109,2025-26,109,2023-24,100,0.0,Peak Now
BUDAUN,QADARCHOWK,9190101703,"GOVT. HIGH SCHOOL, MAMOOR GANJ",42,47,56,65,2025-26,65,2022-23,42,0.0,Peak Now
BUDAUN,QADARCHOWK,9190104602,"GOVT. INTER COLLEGE,NIZAMPUR",311,363,353,388,2025-26,388,2022-23,311,0.0,Peak Now
BUDAUN,QADARCHOWK,9190107202,PT.  DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE CHAUDERA,144,240,261,278,2025-26,278,2022-23,144,0.0,Peak Now
BUDAUN,SAHASWAN CITY,9191900151,"GOVT. GIRLS INTER COLLEGE, SAHASWAN",40,64,74,85,2025-26,85,2022-23,40,0.0,Peak Now
BUDAUN,SALARPUR,9190403005,"GOVT. HIGH SCHOOL, SILHAIRI",34,37,53,71,2025-26,71,2022-23,34,0.0,Peak Now
BUDAUN,SALARPUR,9190405111,"GOVT. HS SCHOOL,CHAKOLAR,SALARPUR",63,80,92,91,2024-25,92,2022-23,63,101.09,Recently Peaked
BUDAUN,SALARPUR,9190400305,PT.  DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE ARSIS BARKHIN,383,401,361,351,2023-24,401,2025-26,351,112.47,Post Peak Severe
BUDAUN,SAMRER,9191109503,"GOVT. HIGH SCHOOL, HANSI GANJ",157,145,117,103,2022-23,157,2025-26,103,134.39,Post Peak Severe
BUDAUN,SAMRER,9191103104,"GOVT. HS SCHOOL,SEERJAYLAL",96,82,76,98,2025-26,98,2024-25,76,0.0,Peak Now
BUDAUN,UJHANI,9190201510,"GOVT. HS SCHOOL,DEHMU",127,119,107,88,2022-23,127,2025-26,88,130.71,Post Peak Severe
BUDAUN,UJHANI,9190201511,"GOVT. HS SCHOOL,SIKANDRABAD",71,76,63,51,2023-24,76,2025-26,51,132.89,Post Peak Severe
BUDAUN,USAWAN,9190903606,"GOVT. HIGH SCHOOL, BHUNDI",188,81,80,143,2022-23,188,2024-25,80,123.94,Recovering
BUDAUN,WAZEERGANJ,9191203129,"GOVT. GIRLS INTER COLLEGE,SAIDPUR",71,71,62,78,2025-26,78,2024-25,62,0.0,Peak Now
BUDAUN,WAZEERGANJ,9191202502,"GOVT. HIGH SCHOOL, SOHI",61,109,116,115,2024-25,116,2022-23,61,100.86,Recently Peaked
BUDAUN,WAZEERGANJ,9191205310,"GOVT. HS SCHOOL,NAULI HARNATHPUR",34,21,22,50,2025-26,50,2023-24,21,0.0,Peak Now
BULANDSHAHR,AGAUTA,9113103504,GOVT HS LUHARLI,18,19,30,41,2025-26,41,2022-23,18,0.0,Peak Now
BULANDSHAHR,ANOOPSHAHAR,9111300603,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE SAURAKH,49,99,141,137,2024-25,141,2022-23,49,102.84,Recently Peaked
BULANDSHAHR,ANOOPSHAHAR,9111306105,RAJKIYA UMV BAGSARA,38,27,42,53,2025-26,53,2023-24,27,0.0,Peak Now
BULANDSHAHR,ANOOPSHAHAR,9111305009,RAJKIYA UMV BIROLI,153,136,145,177,2025-26,177,2023-24,136,0.0,Peak Now
BULANDSHAHR,ARNIA,9110408204,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE DHAKPURA,43,63,76,91,2025-26,91,2022-23,43,0.0,Peak Now
BULANDSHAHR,ARNIA,9110406002,RAJKIYA INTER COLLEGE THAGAURA,30,45,57,81,2025-26,81,2022-23,30,0.0,Peak Now
BULANDSHAHR,ARNIA,9110403708,RAJKIYA UMV AGHORA,64,67,78,89,2025-26,89,2022-23,64,0.0,Peak Now
BULANDSHAHR,B.B.NAGAR,9110700117,GOVT. GIRLS INTER COLLEGE,824,802,817,786,2022-23,824,2025-26,786,104.61,Post Peak Severe
BULANDSHAHR,B.B.NAGAR,9110703906,RAJKIYA HIGH SCH MADONA,43,41,64,71,2025-26,71,2023-24,41,0.0,Peak Now
BULANDSHAHR,BULANDSHAHR,9110106909,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE NAITHALA HASANPUR,172,172,189,185,2024-25,189,2022-23,172,102.12,Recently Peaked
BULANDSHAHR,BULANDSHAHR,9110101704,RAJKIYA H/S DHAMRAWALI,133,142,146,143,2024-25,146,2022-23,133,102.05,Recently Peaked
BULANDSHAHR,BULANDSHAHR,9110104605,RAJKIYA HIGH SCH JALKHERA,64,63,55,56,2022-23,64,2024-25,55,112.5,Recovering
BULANDSHAHR,BULANDSHAHR,9110105403,RAJKIYA HIGH SCH KAJAMPUR DEVLI,97,92,96,99,2025-26,99,2023-24,92,0.0,Peak Now
BULANDSHAHR,BULANDSHAHR,9110104703,RAJKIYA INTER COLLEGE,184,163,159,162,2022-23,184,2024-25,159,111.96,Recovering
BULANDSHAHR,BULANDSHAHR,9110109402,RAJKIYA INTER COLLEGE KHETALPUR BHASAULI,111,137,150,145,2024-25,150,2022-23,111,103.33,Recently Peaked
BULANDSHAHR,BULANDSHAR NAGAR,9112900123,GOVERMENT INTER COLLEGE,503,774,797,725,2024-25,797,2022-23,503,109.03,Recently Peaked
BULANDSHAHR,BULANDSHAR NAGAR,9112900133,GOVT GIRLS INTER COLLEGE,1611,1505,1603,1625,2025-26,1625,2023-24,1505,0.0,Peak Now
BULANDSHAHR,DANPUR,9110302703,GOVT HS AIDALPUR,28,30,32,33,2025-26,33,2022-23,28,0.0,Peak Now
BULANDSHAHR,DANPUR,9110303603,GOVT HS KANHERA,75,58,65,90,2025-26,90,2023-24,58,0.0,Peak Now
BULANDSHAHR,DANPUR,9110300104,GOVT. GIRLS INTER COLLEGE,27,14,25,44,2025-26,44,2023-24,14,0.0,Peak Now
BULANDSHAHR,DANPUR,9110300211,GOVT. JHS AKARWAS,34,35,61,68,2025-26,68,2022-23,34,0.0,Peak Now
BULANDSHAHR,DANPUR,9110303604,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE KANHERA,174,166,159,158,2022-23,174,2025-26,158,109.2,Post Peak Severe
BULANDSHAHR,DEBAI,9110800110,"GOVERNMENT GIRLS INTER COLLEGE, JAYRAMPUR BANGAR",54,55,59,88,2025-26,88,2022-23,54,0.0,Peak Now
BULANDSHAHR,DEBAI,9110800506,GOVT. GIRLS INTER COLLEGE BILONA ROOP,36,38,34,36,2023-24,38,2024-25,34,105.26,Recovering
BULANDSHAHR,DEBAI,9110803903,RAJKIYA BALIKA INTER COLLEGE PALAKESAR,266,464,548,596,2025-26,596,2022-23,266,0.0,Peak Now
BULANDSHAHR,DEBAI,9110807504,RAJKIYA HIGH SCHOOL GHOSIPURA,68,38,19,48,2022-23,68,2024-25,19,129.41,Recovering
BULANDSHAHR,DEBAI,9110805305,RAJKIYA HIGH SCHOOL SATOHA,171,150,157,167,2022-23,171,2023-24,150,102.34,Recovering
BULANDSHAHR,DEBAI,9110801803,"RAJKIYA HIGH SCHOOL, BADARPUR",47,46,33,51,2025-26,51,2024-25,33,0.0,Peak Now
BULANDSHAHR,GULAOTI,9111003704,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE JAINPUR,292,187,324,310,2024-25,324,2023-24,187,104.32,Recently Peaked
BULANDSHAHR,GULAOTI,9111000704,RAJKIYA UMV SAINTHA,49,71,120,113,2024-25,120,2022-23,49,105.83,Recently Peaked
BULANDSHAHR,JAHAGIRABAD,9111206006,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE KOTHARA KURAINA,90,116,155,178,2025-26,178,2022-23,90,0.0,Peak Now
BULANDSHAHR,JAHAGIRABAD,9111201504,RAJKIYA HIGH SCH DHAKROLI,51,48,64,70,2025-26,70,2023-24,48,0.0,Peak Now
BULANDSHAHR,JAHAGIRABAD,9111200903,RAJKIYA HIGH SCH KOTHERA,25,15,32,44,2025-26,44,2023-24,15,0.0,Peak Now
BULANDSHAHR,KHURJA,9111101003,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE AHIRAULI,18,148,158,160,2025-26,160,2022-23,18,0.0,Peak Now
BULANDSHAHR,KHURJA,9111105304,RAJKIYA UMV NAGLA ROOMI,56,60,61,72,2025-26,72,2022-23,56,0.0,Peak Now
BULANDSHAHR,LAKHAWATI,9110901904,RAJKIYA UMV RAJGARHI,53,66,64,64,2023-24,66,2022-23,53,103.03,Post Peak Severe
BULANDSHAHR,PAHASU,9111405903,GOVT. GIRLS INTER COLLEGE PAHASU,211,223,233,214,2024-25,233,2022-23,211,108.15,Recently Peaked
BULANDSHAHR,PAHASU,9111400503,GOVT. HIGHER SEC. SCH,63,88,100,107,2025-26,107,2022-23,63,0.0,Peak Now
BULANDSHAHR,PAHASU,9111402903,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE RASOOLGARH,50,94,175,242,2025-26,242,2022-23,50,0.0,Peak Now
BULANDSHAHR,PAHASU,9111409604,RAJKIYA HIGH SCHOOL ALLI MUBARAK PUR,21,18,20,25,2025-26,25,2023-24,18,0.0,Peak Now
BULANDSHAHR,SHIKARPUR,9110200115,G.G.I.C.,279,274,259,221,2022-23,279,2025-26,221,120.79,Post Peak Severe
