District,Block,School_ID,School_Name,Overall_Growth_pct,Girls_Growth_pct,Boys_Growth_pct,All_Reasons_Detected,Primary_Reason,Confidence_Level,Classes_Affected,Genders_Affected
HARDOI,BHARAWAN,9251802206,"GOVT. HIGH SCHOOL, JAJUPUR",-12.31,6.67,-28.57,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
HARDOI,BHARKHANI,9251211704,GOVT. GIRLS UCH. MA.SCH. PALI,-39.22,-39.22,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11, C12",Girls
HARDOI,BHARKHANI,9251208503,R.U.M.V. INAYTPUR,-10.48,27.5,-33.85,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,Boys
HARDOI,BILGRAM,9251706507,GOVT. H.S.S. RAHULA BILGRAM,-54.05,-51.85,-60.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HARDOI,HARIYAWAN,9250104804,"GOVT. HIGH SCHOOL, RAHEEM PUR",-5.36,-38.46,23.33,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,C10,Girls
HARDOI,KOTHAWAN,9251502503,GOVERMENT HSS DUGAUNA,-5.45,-3.7,-7.14,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
HARDOI,MALLAWA,9250800605,ADARSH SHRISAD BAJIGANJ MALLAWAN,-26.32,-50.0,-20.0,Social/Gender Barrier,Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
HARDOI,SANDI,9251310901,"GOVT. HIGH SCHOOL, SHIV SINGH PURWA",-35.38,-33.33,-37.93,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HARDOI,SHAHABAD,9251104105,R.U.M.V. BILHARI,-68.94,-75.68,-33.33,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
HARDOI,TANDIYAWA,9250909302,GOVT H.S.S. SARIPURCHACHETA,-20.0,-39.73,-6.54,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
HARDOI,TANDIYAWA,9250904203,GOVT. I.C. TANDIYAWAN,-12.28,-5.95,-15.18,"Migration/Population Shift, Low Enrollment at Board Class Boundary",Migration/Population Shift,MEDIUM,"C8, C9, C10, C12","Girls, Boys"
HARDOI,TN.AR.  PIHANI,9252100104,GOVT GLS. INTER COLLAGE,-32.07,-32.07,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C12",Girls
HARDOI,TN.AR. HARDOI,9252500327,GOVT. INTER COLLEGE,-28.38,,-28.43,Infrastructure/External Shock,Infrastructure/External Shock,MEDIUM,"C9, C10, C11, C12",Boys
HARDOI,TN.AR. SANDILA,9252400707,GOVT. GLS INT COLLEGE,-6.98,-6.98,,Undetermined,Undetermined,LOW,"C8, C10, C12",Girls
HARDOI,TONDARPUR,9251004808,GHSS DHANWAR,-26.19,15.0,-63.64,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10",Boys
HARDOI,TONDARPUR,9251001111,RAJKIYA HSS SIROMAN NAGAR,-34.0,-31.82,-35.71,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
HATHRAS,HASAYAN,9130321101,GOV HIGH SCHOOL GANGAPUR,-19.0,-17.07,-20.34,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HATHRAS,HATHRAS,9130113503,GOV HIGH SCHOOL BAGHANA,-6.15,-12.82,3.85,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,Girls
HATHRAS,HATHRAS,9130107603,GOV HIGH SCHOOL KOKA,-41.51,-34.57,-48.72,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HATHRAS,SADABAD,9130601607,Goverment high School mai,-5.17,1.16,-11.36,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
HATHRAS,SASNI,9130210605,GOV HIGH SCHOOL SAHAJPURA,-6.14,-3.64,-8.47,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HATHRAS,SIKANDRA RAO,9130504604,GOV HIGH SCHOOL PACHAYTA,-15.0,3.7,-30.3,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
JALAUN,DAKOR,9350104105,GOVT. HSS AIR,-12.68,-21.88,-5.13,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
JALAUN,DAKOR,9350100606,GOVT. I.C. SAIDNAGAR,-7.06,0.0,-13.53,"Low Enrollment at Board Class Boundary, Economic/Child Labour",Low Enrollment at Board Class Boundary,HIGH,"C10, C11",Boys
JALAUN,KADAURA,9350301408,GOVT. HSS CHHAUNK,-56.84,-48.94,-64.58,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JALAUN,KADAURA,9350307506,GOVT. HSS MARGAYAN,-14.44,-18.87,-8.11,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JALAUN,KADAURA,9350313301,"PT. DEENDAYAL UPADHYAY GOVT. MODEL INTER COLLEGE, PIPRAYAN KADAURA",-25.0,-9.23,-36.78,"Migration/Population Shift, Economic/Child Labour",Migration/Population Shift,MEDIUM,"C9, C10, C12","Girls, Boys"
JALAUN,MAHEVA,9350701410,GOVT. GIRLS I.C. BABAI,-18.18,-18.18,,Undetermined,Undetermined,LOW,"C9, C10, C11",Girls
JALAUN,MAHEVA,9350707103,GOVT. HSS SARSELA,-5.56,-15.62,9.09,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,Girls
JALAUN,MAHEVA,9350705204,GOVT. I.C. MUSMARIYA,-10.04,-7.09,-13.56,Undetermined,Undetermined,LOW,"C10, C12","Girls, Boys"
JALAUN,MAHEVA,9350704006,"PT. DEENDAYAL UPADHYAY GOVT. MODEL INTER COLLEGE, CHURKHI",-6.58,-13.38,2.97,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Upper Class Only Decline",Higher Education Transition Issue,HIGH,"C10, C12",Girls
JALAUN,RAMPURA,9350901903,GOVT. HSS BALIKA VIDHALAYA SIDDHAPURA,-13.33,-13.51,-13.16,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
JALAUN,T. A. ORAI,9351302306,GOVT. GIRLS I.C. ORAI,-20.37,-20.37,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
JAUNPUR,BADLA PUR,9641603920,GOVT.H.S. TIYARA,-32.35,-46.15,-13.79,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,"Girls, Boys"
JAUNPUR,JALALPUR,9640501008,GOVT. H.S. MAI,-32.97,-27.12,-43.75,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JAUNPUR,KARANJA KALA,9640406208,GOVT. H.S. AARA,-23.6,-2.44,-41.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JAUNPUR,MAHARAJ GANJ,9641008902,GOVT. H.S. HARAI PUR,-13.89,-17.65,-10.53,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
JAUNPUR,MUFTI GANJ,9640902605,GOVT. H.S. PASEVA,-11.48,-41.46,50.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,Girls
JAUNPUR,SHAH GANJ,9640806103,GOVT.U.M SCHOOL PORAI KALA JAUNPUR,-28.04,-17.02,-36.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JHANSI,BABINA,9360101605,GOVT. HIGH SCHOOL LAHAR THAKURPURA,-8.27,-27.03,15.25,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,Girls
JHANSI,BABINA,9360100904,GOVT.HIGH SCHOOL BUDPURA,-16.0,-31.82,6.45,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,Girls
JHANSI,BABINA,9360102005,RAJKIYA BALIKA INTER COLL.-RASOI,-20.35,-20.35,,Low Enrollment at Board Class Boundary,Low Enrollment at Board Class Boundary,MEDIUM,"C9, C10, C12",Girls
JHANSI,BABINA,9360106216,RAJKIYA INTER COLLEGE-RAKSHA,-15.57,-9.34,-19.95,"Migration/Population Shift, Economic/Child Labour",Migration/Population Shift,MEDIUM,"C8, C9, C10, C11","Girls, Boys"
JHANSI,BAMORE,9360207306,ABHINAV VIDAHAYALA KURAITHA ,-80.65,-81.58,-79.17,"Migration/Population Shift, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10, C11, C12","Girls, Boys"
JHANSI,BANGRA,9360308307,GOVT. HIGH SCHOOL-MAGARPUR,-16.62,-8.28,-23.33,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JHANSI,BANGRA,9360305533,RAJKIYA GIRLS INTER COLLEGE-RANIPUR,-27.15,-27.15,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
JHANSI,BANGRA,9360307009,RAJKIYA INTER COLLEGE-SAKRAR,-5.98,-0.72,-10.32,Undetermined,Undetermined,LOW,"C10, C11","Girls, Boys"
JHANSI,BARAGAON,9360405410,GOVT HIGH SCHOOL BHOJLA,-19.76,-22.83,-16.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JHANSI,BARAGAON,9360407203,RAJKIYE HIGH SCHOOL MAVAI GIRD,-28.24,-21.88,-32.08,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JHANSI,CHIRGAON,9360507706,GOVT. HIGH SCHOOL  DHAMNA KHURD,-7.54,-11.22,-3.96,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
JHANSI,GURSARAI,9360608318,RAJKIYA BALIKA INTER COLLEGE - GURSARAI,-26.87,-26.87,,Undetermined,Undetermined,LOW,"C9, C10, C12",Girls
JHANSI,GURSARAI,9360600903,RAJKIYE INTER COLLEGE KHADOURA,-15.09,-5.33,-23.81,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
JHANSI,JHANSI NAGARCHETRA,9361104514,SURAJ PRASAD INTER COLL_RAJKIYE BALIKA .-7,-7.23,-7.23,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11",Girls
JHANSI,MAURANIPUR,9360803803,GOVT HIGH SCHOOL- CHAKARA,-12.28,-2.97,-19.69,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JHANSI,MAURANIPUR,9360805103,GOVT. GIRLS INTER COLLGE VEERA,-6.42,-3.85,-8.77,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
JHANSI,MAURANIPUR,9360808306,RAJIKIYE HIGH SCHOOL REVAN,-23.12,-26.42,-20.11,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JHANSI,MOTH,9360714414,RAJKIYA INTER COLLEGE-SAMTHAR,-9.46,-0.55,-14.12,"Migration/Population Shift, Economic/Child Labour",Migration/Population Shift,MEDIUM,"C9, C10, C12","Girls, Boys"
JHANSI,MOTH,9360700604,RAJKIYA INTER COLLEGE-SHAJHAPUR,-9.11,-4.81,-12.79,Migration/Population Shift,Migration/Population Shift,MEDIUM,"C8, C9, C10","Girls, Boys"
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,9061809103,RAJKIYA HIGH SCHOOL HASANPUR KATIA,-10.61,-10.81,-10.34,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
JYOTIBA PHULE NAGAR (AMROHA),AMROHA CITY,9062202552,RAJKIYA GIRLS INTER COLLEGE,-17.24,-17.24,,Undetermined,Undetermined,LOW,"C9, C10, C11",Girls
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,9061909008,RAJKIYA H.S. DYOTI,-30.82,-26.39,-34.48,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,9061903730,RAJKIYA HIGH SCHOOL BACHRAU,-9.13,28.12,-25.69,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,9061903723,RAJKIYA INDRAWATI GIRLS INTER,-13.02,-13.02,,Undetermined,Undetermined,LOW,"C8, C10, C12",Girls
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,9061600706,RAJKIYA H.S. RAHRAI,-26.0,-26.0,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10",Girls
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR CITY,9062500230,RAJKIYA GIRLS INTER COLLEGE,-18.31,-18.31,,Undetermined,Undetermined,LOW,"C8, C9, C10, C12",Girls
KANNAUJ,JALALABAD,9300701016,PT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE FATEHPUR JASODA KANNAUJ,-10.66,-15.19,-5.19,"Migration/Population Shift, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10","Girls, Boys"
KANNAUJ,SAURIKH,9300500117,RAJKIYA H.S.S KISAI JAGDISPUR,-5.68,-7.32,-4.26,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
KANNAUJ,TAL GRAM,9300304208,RAJKIYA H.S.S UMAEPUR TALGRAM,-17.95,-11.11,-23.81,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
KANNAUJ,UMARDA,9300202008,GOVT. INTER COLLEGE,-22.57,-19.57,-25.09,Migration/Population Shift,Migration/Population Shift,MEDIUM,"C8, C9, C10, C11","Girls, Boys"
KANNAUJ,UMARDA,9300200106,RAJKIYA H.S.S DYODA UMARDA,-10.53,-46.15,66.67,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
KANPUR DEHAT,AKBARPUR,9330100126,GOVT.H.S.SCHOOL BARA,-27.81,-25.0,-30.86,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KANPUR DEHAT,RASULABAD,9330907717,GOVT.G.I.C.RASULABAD,-36.94,-36.94,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C11",Girls
KANPUR DEHAT,SARVANKHERA,9331009804,GOVT.H.S.SCHOOL KERSA,-18.18,-14.81,-21.43,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KANPUR NAGAR,BHITERGAON,9340800704,GOVT HIGH SCHOOL KORTHA,-9.68,2.08,-22.22,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
KANPUR NAGAR,BIDHNU,9340200109,GIC H S SCHOOL KHERSA,-16.34,-4.67,-28.29,"Migration/Population Shift, Economic/Child Labour",Migration/Population Shift,MEDIUM,"C9, C10, C11","Girls, Boys"
KANPUR NAGAR,CHAUBEPUR,9340404805,GOVT HIGH SCHOOL RAI GOPALPUR,-40.64,-43.16,-38.04,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KANPUR NAGAR,GHATAMPUR,9340907956,GOVERNMENT GIRLS HIGHER SECONDARY SCHOOL,-5.3,-5.3,,Undetermined,Undetermined,LOW,"C8, C10",Girls
KANPUR NAGAR,GHATAMPUR,9340901903,GOVT HIGH SCHOOL,-32.26,-45.45,-20.41,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
KANPUR NAGAR,GHATAMPUR,9340912902,GOVT HIGH SCHOOL KASIMPUR,-24.39,-42.55,0.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
KANPUR NAGAR,KALYANPUR,9340303711,GOVT HIGH SCHOOL,-37.71,-40.66,-34.52,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KANPUR NAGAR,KALYANPUR,9340300618,IC GGIC SINGHPUR,-19.43,-19.43,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11",Girls
KANPUR NAGAR,PATARA,9341005107,GOVT. HIGH SCHOOL JAHANGIRABAD,-19.83,-51.25,41.46,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10",Girls
KANPUR NAGAR,SARSAUL,9340102922,G.G.I.C.,-36.36,-36.36,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11, C12",Girls
KANPUR NAGAR,SARSAUL,9340101506,GOVT HIGH SCHOOL TILSAHRI BUJURG,-38.14,-53.57,-17.07,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
KANPUR NAGAR,SHASTRI NAGAR,9341500180,GOVT. GIRLS INTER COLLEGE VIJAY NAGAR,-24.62,-24.62,,Undetermined,Undetermined,LOW,"C8, C11, C12",Girls
KANSHIRAM NAGAR,PATIYALI,9721002619,GOVERNMENT GIRLS INTER COL.,-34.04,-34.04,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11",Girls
KAUSHAMBI,MANJHANPUR,9440112201,RAJKIYA H.S.S PINDARA SAHAWANPUR,-75.0,-81.4,-53.85,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
KAUSHAMBI,SIRATHU,9440307903,RAJKIYA HIGH SCHOOL RALA SIRATHU KAUSHAMBI,-39.44,-46.43,-34.88,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
KHERI,BANKEGANJ,9231508803,GOVT. H S KUKARA,-37.14,-5.56,-53.62,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KHERI,DHAURAHARA,9230300102,GOVT. INTER COLEGE.DHAURAHARA,-7.69,,-7.69,Undetermined,Undetermined,LOW,"C8, C9, C10, C12",Boys
KHERI,ISANAGAR,9230402905,govt.H.S iswara,-14.94,-4.88,-23.91,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
KHERI,KUMBHI-GOLA,9230509103,GOVT HS AHMAD NAGAR,-13.6,-11.88,-14.96,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
KHERI,KUMBHI-GOLA,9230500204,GOVT HS MAGDAPUR,-25.37,-3.75,-39.2,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KHERI,KUMBHI-GOLA,9230503403,GOVT HS MOHAMMADBAD,-15.45,-28.0,-5.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,"Girls, Boys"
KHERI,LAKHIMPUR,9230600213,GOVT.GIRLS I.C.KHIRI TOWN,-27.33,-27.82,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
KHERI,LMP,9231600237,GOVT.GIRLS I.C.LAKHIMPR KHIRI,-7.04,-7.04,,Undetermined,Undetermined,LOW,"C9, C10, C11",Girls
KHERI,MITAULI,9230814203,GOVT. H.S CHURAIPURWA,-37.82,-31.48,-43.08,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KHERI,MITAULI,9230810404,GOVT. H.S. NAKARA,-5.81,27.03,-30.61,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
KHERI,MITAULI,9230816704,GOVT.H.S. BHEEKHAM PUR,-17.24,10.0,-31.58,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
KHERI,MITAULI,9230811906,GOVT.H.S. KAKARHA,-15.62,38.24,-45.16,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10",Boys
KHERI,MOHAMMADI,9230701503,GOVT.H.S.JAITI,-13.33,-22.0,-7.14,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,"Girls, Boys"
KHERI,NAKAHA,9231006203,GOVT HS KATKUSUMA,-15.44,-12.86,-17.72,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KHERI,NAKAHA,9231008402,GOVT.I.C. SHARDA NAGAR,-12.81,-15.04,-11.18,"Migration/Population Shift, Low Enrollment at Board Class Boundary",Migration/Population Shift,MEDIUM,"C10, C11, C12","Girls, Boys"
KHERI,NIGHASAN,9230905404,GOVT. GIRLS H.S NAUBANA,-27.27,-35.06,-16.36,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
KHERI,NIGHASAN,9230904603,GOVT. H. S. KHAIRI GARH,-10.93,-19.57,-2.2,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
KHERI,NIGHASAN,9230908505,GOVT.H.S.CHEDIYAPATIYA,-19.14,-6.54,-32.35,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KHERI,PALIYA,9231101902,G.H.S. BHUDA PALIYA KHERI,-38.79,-46.96,-20.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
KHERI,PALIYA,9231104203,G.V.H.S.S. RANINAGAR PALIYA KHERI,-38.14,-31.48,-46.51,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KHERI,PHOOL BEHAR,9231203003,GOVT HS GOOM,-34.52,-28.74,-40.74,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KHERI,PHOOL BEHAR,9231204504,GOVT HS MUKUNDA,-34.65,-5.13,-53.23,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KUSHINAGAR,DUDAHI,9591205405,RAJKIYA U.M.V. NARAHWADIH,-12.0,63.64,-71.43,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
KUSHINAGAR,HATA,9590607408,GOV. GIRLS I.C. HATA,-16.3,-16.3,,Undetermined,Undetermined,LOW,"C8, C9, C11, C12",Girls
KUSHINAGAR,HATA,9590601503,RAJKIYA U.M.V. PARSAHWA,-27.59,-10.0,-66.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
KUSHINAGAR,KHADDA,9590308303,RAJKIYA U.M.V. BUDHWA JUNGLE,-15.07,-4.55,-31.03,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
KUSHINAGAR,KHADDA,9590306605,RAJKIYA U.M.V. SISWA GOPAL,-26.67,-7.69,-52.63,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
LALITPUR,BAR,9370107003,GHS NAGARA,-23.53,-28.95,-19.82,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
LALITPUR,BAR,9370103803,GOVT HIGH SCHOOL VEER,-42.47,-45.45,-39.8,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
