District,Block,School_ID,School_Name,Overall_Growth_pct,Girls_Growth_pct,Boys_Growth_pct,All_Reasons_Detected,Primary_Reason,Confidence_Level,Classes_Affected,Genders_Affected
AMETHI - CSM NAGAR,JAMO,9732100205,RAJKIYE HIGH SCHOOL SARMEN,-5.41,31.03,-28.89,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730301001,GGIC MUSAFIRKHANA,-14.96,-14.96,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11",Girls
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,-46.48,-30.0,-58.54,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
AMETHI - CSM NAGAR,SHAHGARH,9732000201,GGIC SHAHGARH,-10.68,-10.68,,Undetermined,Undetermined,LOW,"C8, C9, C10, C12",Girls
AMETHI - CSM NAGAR,SHUKULBAZAR,9731800101,GGIC SHUKUL BAZAR,-17.78,-17.78,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10, C11",Girls
AMETHI - CSM NAGAR,SINGHPUR,9731700807,RAJKIY INTER COLLGE INHAUNA,-14.29,-18.75,-9.3,Low Enrollment at Board Class Boundary,Low Enrollment at Board Class Boundary,HIGH,"C10, C12","Girls, Boys"
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,-52.17,-56.67,-48.72,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
AURAIYA,ACHHALDA,9320903205,GOVT. U.M.V. BHAISOL ACHHALDA,-5.56,0.0,-14.29,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
AURAIYA,ACHHALDA,9320900115,GOVT. U.M.V. PATA,-26.09,-28.21,-23.33,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
AURAIYA,AURAIYA,9320107404,GOVT. U.M.V. NASIRABAD,-8.06,-35.14,32.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,Girls
AURAIYA,BHAGYANAGAR,9320600102,GOVT. GIRLS INTER COLLEGE DIBIYAPUR,-21.01,-21.74,,Undetermined,Undetermined,LOW,"C10, C12",Girls
AURAIYA,BHAGYANAGAR,9320608206,GOVT. U.M.V. JUA,-35.85,-33.33,-39.13,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,-51.72,-51.72,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10, C11, C12",Girls
AZAMGARH,ATRAULIYA,9611201913,GOVT GIRLS INTER COLLEGE,-35.04,-35.04,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
AZAMGARH,AZAMGRAH,9612301305,GOVT B.I.COLLEGE RAIDOPUR,-23.44,-23.44,,Infrastructure/External Shock,Infrastructure/External Shock,MEDIUM,"C8, C9, C10, C11, C12",Girls
AZAMGARH,BILARIYAGANJ,9611515002,GOVT.GIRLS INTER COLLEGE BAGWAR,-6.32,-6.32,,Low Enrollment at Board Class Boundary,Low Enrollment at Board Class Boundary,HIGH,"C10, C12",Girls
AZAMGARH,FOOLPOOR,9610806403,RAJKIYA UMV FATTEPUR FOOLPUR,-8.57,-30.77,19.35,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,Girls
AZAMGARH,HARRAIYA,9611410802,G.B.U.M.V. PIHAR,-48.72,-60.98,-35.14,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,-38.6,-28.48,-48.78,"Migration/Population Shift, Low Enrollment at Board Class Boundary, Economic/Child Labour",Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,-84.53,-89.81,-76.71,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,-26.35,-40.26,-11.27,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
AZAMGARH,PAWAE,9610701108,GOVT. GIRLS H.S. SCHOOL PAWAI,-24.11,-24.11,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C10, C11, C12",Girls
AZAMGARH,PAWAE,9610705504,RAJKIYA U.M.V. SARAIPUL,-35.45,3.03,-51.95,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
AZAMGARH,TAHBERPUR,9611006403,RAJKIYA U.M.V. RAISINGHPUR,-21.88,-8.54,-35.9,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
AZAMGARH,THEKMA,9612106802,GOVT GIRLS I.C.  ASHWANIYA,-47.69,-29.17,-58.54,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
