District,Block,School_ID,School_Name,C8,C9,C10,C11,C12,Total,Min_Class,Max_Class,Avg_Class_Size,Imbalance_Ratio,Under_Enrolled_Classes,Overcrowded_Classes,Dominant_Class,Class_Strength_Tag
AMBEDKAR NAGAR,KATEHARI,9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,0,136,61,65,63,325,0,136,65.0,136000.0,1,4,Class 9,Overcrowded
AMBEDKAR NAGAR,KATEHARI,9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,0,82,56,0,0,138,0,82,27.6,82000.0,3,1,Class 9,Ghost Classes
AMBEDKAR NAGAR,RAMNAGAR,9480811703,GOVT HIGHER SEC SCH CHANDANPUR,0,53,31,0,0,84,0,53,16.8,53000.0,3,0,Class 9,Ghost Classes
AMBEDKAR NAGAR,RAMNAGAR,9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,28,180,144,102,103,557,28,180,111.4,6.43,0,4,Class 9,Overcrowded
AMBEDKAR NAGAR,RAMNAGAR,9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,0,65,42,0,0,107,0,65,21.4,65000.0,3,1,Class 9,Ghost Classes
AMBEDKAR NAGAR,RAMNAGAR,9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,0,57,55,31,25,168,0,57,33.6,57000.0,1,0,Class 9,Severely Imbalanced
AMBEDKAR NAGAR,TANDA,9480917501,GOVT GIRLS INTER COLLEGE TANDA,0,39,41,40,40,160,0,41,32.0,41000.0,1,0,Class 10,Severely Imbalanced
AMBEDKAR NAGAR,TANDA,9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,0,35,22,0,0,57,0,35,11.4,35000.0,3,0,Class 9,Ghost Classes
AMBEDKAR NAGAR,TANDA,9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,0,66,46,0,0,112,0,66,22.4,66000.0,3,1,Class 9,Ghost Classes
AMBEDKAR NAGAR,TANDA,9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,52,149,140,94,130,565,52,149,113.0,2.87,0,4,Class 9,Overcrowded
AMBEDKAR NAGAR,TANDA TOWN AREA,9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,23,46,26,33,32,160,23,46,32.0,2.0,0,0,Class 9,Balanced
AMETHI,AMETHI,9730208001,GGIC AMETHI,20,78,101,41,99,339,20,101,67.8,5.05,0,3,Class 10,Overcrowded
AMETHI,AMETHI,9730200109,RAJKIYE HIGH SCHOOL,0,76,44,0,0,120,0,76,24.0,76000.0,3,1,Class 9,Ghost Classes
AMETHI,BAHADURPUR,9732500101,GGIC JAIS,0,75,87,100,109,371,0,109,74.2,109000.0,1,4,Class 12,Overcrowded
AMETHI,BAHADURPUR,9732502201,GIC FURSATGANJ,45,307,354,287,320,1313,45,354,262.6,7.87,0,4,Class 10,Overcrowded
AMETHI,BAHADURPUR,9732500102,GIC JAIS,8,61,50,46,42,207,8,61,41.4,7.62,1,1,Class 9,Severely Imbalanced
AMETHI,BAHADURPUR,9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,0,113,100,77,85,375,0,113,75.0,113000.0,1,4,Class 9,Overcrowded
AMETHI,BAHADURPUR,9732500206,RAJKEEYA HIGH SCHOOL,0,65,25,0,0,90,0,65,18.0,65000.0,3,1,Class 9,Ghost Classes
AMETHI,BAHADURPUR,9732500609,RAJKIYA HIGH SCHOOL PEEDHI,0,76,72,0,0,148,0,76,29.6,76000.0,3,2,Class 9,Ghost Classes
AMETHI,BHADAR,9732704801,GGIC SONARI KALA,21,86,123,117,113,460,21,123,92.0,5.86,0,4,Class 10,Overcrowded
AMETHI,BHADAR,9732701209,GIC TIKARMAFI,18,146,147,155,140,606,18,155,121.2,8.61,0,4,Class 11,Overcrowded
AMETHI,BHADAR,9732702403,RAJKIYA HIGH SCHOOL,0,35,21,0,0,56,0,35,11.2,35000.0,3,0,Class 9,Ghost Classes
AMETHI,BHADAR,9732706101,RAMABAI AMBEDKAR GGIC,4,49,27,14,22,116,4,49,23.2,12.25,1,0,Class 9,Severely Imbalanced
AMETHI,BHETUA,9732303305,RAJKIY INTER COLLEGE,35,43,74,38,34,224,34,74,44.8,2.18,0,1,Class 10,Imbalanced
AMETHI,GAURIGANJ,9731904502,GGIC GAURIGANJ,20,78,106,59,82,345,20,106,69.0,5.3,0,3,Class 10,Overcrowded
AMETHI,GAURIGANJ,9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,0,25,15,12,18,70,0,25,14.0,25000.0,1,0,Class 9,Severely Imbalanced
AMETHI,JAGDISHPUR,9730100401,GGIC JAGDISHPUR,26,98,87,42,45,298,26,98,59.6,3.77,0,2,Class 9,Overcrowded
AMETHI,JAGDISHPUR,9730104605,GIC MAU ATWARA  JAGDISHPUR AMETHI,0,78,42,32,20,172,0,78,34.4,78000.0,1,1,Class 9,Severely Imbalanced
AMETHI,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,0,27,26,0,0,53,0,27,10.6,27000.0,3,0,Class 9,Ghost Classes
AMETHI,JAGDISHPUR,9730104402,RAJKIY HIGH SCHOOL RANIGANJ,0,8,15,0,0,23,0,15,4.6,15000.0,4,0,Class 10,Ghost Classes
AMETHI,JAMO,9732100101,GGIC JAMO,36,101,125,76,87,425,36,125,85.0,3.47,0,4,Class 10,Overcrowded
AMETHI,JAMO,9732100205,RAJKIYE HIGH SCHOOL SARMEN,0,41,29,0,0,70,0,41,14.0,41000.0,3,0,Class 9,Ghost Classes
AMETHI,JAMO,9732100115,UMA RAMAN INTER COLLEGE,0,81,90,75,67,313,0,90,62.6,90000.0,1,4,Class 10,Overcrowded
AMETHI,MUSAFIRKHANA,9730301001,GGIC MUSAFIRKHANA,50,234,241,198,226,949,50,241,189.8,4.82,0,4,Class 10,Overcrowded
AMETHI,MUSAFIRKHANA,9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,59,36,50,37,12,194,12,59,38.8,4.92,0,0,Class 8,Severely Imbalanced
AMETHI,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,0,17,21,0,0,38,0,21,7.6,21000.0,3,0,Class 10,Ghost Classes
AMETHI,SANGRAMPUR,9730400406,GGIC SANGRAMPUR,0,8,12,7,7,34,0,12,6.8,12000.0,4,0,Class 10,Ghost Classes
AMETHI,SHAHGARH,9732000201,GGIC SHAHGARH,29,108,89,98,86,410,29,108,82.0,3.72,0,4,Class 9,Overcrowded
AMETHI,SHAHGARH,9732003204,GOVT HIGH SCHOOL AFUIYA,0,69,60,0,0,129,0,69,25.8,69000.0,3,1,Class 9,Ghost Classes
AMETHI,SHAHGARH,9732002803,RAJKIY HAIGH SCHOOL,0,34,39,0,0,73,0,39,14.6,39000.0,3,0,Class 10,Ghost Classes
AMETHI,SHUKULBAZAR,9731800101,GGIC SHUKUL BAZAR,25,23,26,10,27,111,10,27,22.2,2.7,0,0,Class 12,Imbalanced
AMETHI,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,0,29,35,0,0,64,0,35,12.8,35000.0,3,0,Class 10,Ghost Classes
AMETHI,SINGHPUR,9731700509,RAJKIY HIGH SCHOOL SINGHPUR,0,43,41,0,0,84,0,43,16.8,43000.0,3,0,Class 9,Ghost Classes
AMETHI,SINGHPUR,9731700807,RAJKIY INTER COLLGE INHAUNA,11,47,27,44,27,156,11,47,31.2,4.27,0,0,Class 9,Severely Imbalanced
AMETHI,SINGHPUR,9731703504,RAJKIYA INTER COLLEGE RAJA FATEHPUR,86,150,189,96,126,647,86,189,129.4,2.2,0,5,Class 10,Overcrowded
AMETHI,TILOI,9732202304,RAJKIY HIGH SCHOOL CHITRA BUZURG,0,19,24,0,0,43,0,24,8.6,24000.0,3,0,Class 10,Ghost Classes
AMETHI,TILOI,9732201003,RAJKIY HIGH SCHOOL SAVITAPUR,0,68,56,0,0,124,0,68,24.8,68000.0,3,1,Class 9,Ghost Classes
AMETHI,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,0,38,28,0,0,66,0,38,13.2,38000.0,3,0,Class 9,Ghost Classes
AMROHA,AMROHA,9061812309,GOVT. INTER COLLEGE MITTHE PUR KALAN,17,37,36,31,21,142,17,37,28.4,2.18,0,0,Class 9,Imbalanced
AMROHA,AMROHA,9061802809,PANDIT DEEN DAYAL UPADHYAY RAJIKYA INTER COLLEGE GAJSTHAL,32,76,64,48,38,258,32,76,51.6,2.37,0,2,Class 9,Overcrowded
AMROHA,AMROHA,9061809103,RAJKIYA HIGH SCHOOL HASANPUR KATIA,0,30,29,0,0,59,0,30,11.8,30000.0,3,0,Class 9,Ghost Classes
AMROHA,AMROHA CITY,9062202551,RAJKIYA BOYS INTER COLLEGE,79,94,109,105,95,482,79,109,96.4,1.38,0,5,Class 10,Overcrowded
AMROHA,AMROHA CITY,9062202552,RAJKIYA GIRLS INTER COLLEGE,142,226,175,201,235,979,142,235,195.8,1.65,0,5,Class 12,Overcrowded
