District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
AZAMGARH,ATRAULIYA,9611201913,GOVT GIRLS INTER COLLEGE,W4,GIRLS ENROLLMENT DROP,HIGH,-19.1,-10,2025-26
AZAMGARH,FOOLPOOR,9610806403,RAJKIYA UMV FATTEPUR FOOLPUR,W2,ENROLLMENT DECLINE,HIGH,-20.0,-10,2025-26
AZAMGARH,FOOLPOOR,9610806403,RAJKIYA UMV FATTEPUR FOOLPUR,W4,GIRLS ENROLLMENT DROP,HIGH,-18.2,-10,2025-26
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,W2,ENROLLMENT DECLINE,HIGH,-18.6,-10,2025-26
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,W4,GIRLS ENROLLMENT DROP,HIGH,-18.6,-10,2025-26
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,W2,ENROLLMENT DECLINE,HIGH,-10.7,-10,2025-26
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-25.8,-20,2025-26
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AZAMGARH,THEKMA,9612106802,GOVT GIRLS I.C.  ASHWANIYA,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AZAMGARH,THEKMA,9612106802,GOVT GIRLS I.C.  ASHWANIYA,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
BAGHPAT,BAGPAT,9080103506,G.H.S FATEHPUR POOTHI,W4,GIRLS ENROLLMENT DROP,HIGH,-13.5,-10,2025-26
BAGHPAT,PILANA,9080705205,G.H.S BASAUD,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-27.1,-20,2025-26
BAHRAICH,CHITTAURA,9500801802,R H SCHOOL KISHUNPURMAFI CHITTAURA,W1,ENROLLMENT CRASH,CRITICAL,-31.5,-20,2025-26
BAHRAICH,HUJUR PUR,9500608704,R H S JIGANIYA CHHATER PAL,W2,ENROLLMENT DECLINE,HIGH,-16.7,-10,2025-26
BAHRAICH,JARWAL,9500100805,R HS NARAUDA,W4,GIRLS ENROLLMENT DROP,HIGH,-18.4,-10,2025-26
BAHRAICH,MAHSI,9500403005,R H SCHOOL NAKAHI,W1,ENROLLMENT CRASH,CRITICAL,-21.6,-20,2025-26
