school_id,school_name,district,block,School_Type,Class_Range_Label,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Growth_2223_2324,Growth_2324_2425,Growth_2425_2526,Overall_Growth,Trend_Tag
9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,ALIGARH,NAGAR ATRAULI,Middle_to_Higher,6-12,918.0,848.0,715,678,-7.63,-15.68,-5.17,-26.14,Consistent Decline
9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,ALIGARH,TAPPAL,Senior_Secondary,9-12,57.0,50.0,54,84,-12.28,8.0,55.56,47.37,Recovery
9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,ALIGARH,TAPPAL,Middle_to_Higher,6-12,118.0,109.0,99,124,-7.63,-9.17,25.25,5.08,Recovery
9480110905,G G I C AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,Full_School,1-12,123.0,72.0,76,68,-41.46,5.56,-10.53,-44.72,Volatile
9480103707,GOVT GIRLS INTER COLLEGE BEWANA,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,282.0,291.0,351,384,3.19,20.62,9.4,36.17,Consistent Growth
9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,AMBEDKAR NAGAR,AKBARPUR,Senior_Secondary,9-12,38.0,34.0,45,70,-10.53,32.35,55.56,84.21,Recovery
9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,AMBEDKAR NAGAR,AKBARPUR,Senior_Secondary,9-12,34.0,25.0,20,35,-26.47,-20.0,75.0,2.94,Recovery
9480107905,GOVT INTER COLLEGE AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,492.0,496.0,512,396,0.81,3.23,-22.66,-19.51,Peaked
9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Higher,6-12,64.0,68.0,123,199,6.25,80.88,61.79,210.94,Consistent Growth
9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,408.0,389.0,409,400,-4.66,5.14,-2.2,-1.96,Volatile
9480200403,GOVT HIGHER SEC SCH LAKHANPUR,AMBEDKAR NAGAR,BASKHARI,Senior_Secondary,9-12,96.0,73.0,53,64,-23.96,-27.4,20.75,-33.33,Recovery
9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,AMBEDKAR NAGAR,BASKHARI,Senior_Secondary,9-12,43.0,28.0,22,50,-34.88,-21.43,127.27,16.28,Recovery
9480308014,GOVT GIRLS INTER COLLEGE BHEETI,AMBEDKAR NAGAR,BHEETI,Middle_to_Secondary,6-10,83.0,100.0,148,162,20.48,48.0,9.46,95.18,Consistent Growth
9480406306,GOVT HIGHER SEC SCH RAMGARH,AMBEDKAR NAGAR,BHIYAON,Senior_Secondary,9-12,69.0,56.0,58,94,-18.84,3.57,62.07,36.23,Recovery
9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,AMBEDKAR NAGAR,BHIYAON,Senior_Secondary,9-12,76.0,62.0,71,129,-18.42,14.52,81.69,69.74,Recovery
9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,AMBEDKAR NAGAR,BHIYAON,Middle_to_Higher,6-12,193.0,403.0,472,513,108.81,17.12,8.69,165.8,Consistent Growth
9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,AMBEDKAR NAGAR,JAHANGIRGANJ,Middle_to_Secondary,6-10,162.0,227.0,314,315,40.12,38.33,0.32,94.44,Consistent Growth
9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,149.0,107.0,103,138,-28.19,-3.74,33.98,-7.38,Recovery
9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,147.0,95.0,108,154,-35.37,13.68,42.59,4.76,Recovery
9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,61.0,49.0,63,80,-19.67,28.57,26.98,31.15,Recovery
9480602120,GOVT G INTER COLLEGE JALALPUR,AMBEDKAR NAGAR,JALALPUR,Middle_to_Higher,6-12,250.0,296.0,344,367,18.4,16.22,6.69,46.8,Consistent Growth
9480607607,GOVT HIGHER SEC SCH BAREPUR,AMBEDKAR NAGAR,JALALPUR,Senior_Secondary,9-12,61.0,49.0,75,81,-19.67,53.06,8.0,32.79,Recovery
9480605504,GOVT HIGHER SEC SCH BASIYA,AMBEDKAR NAGAR,JALALPUR,Senior_Secondary,9-12,90.0,81.0,92,97,-10.0,13.58,5.43,7.78,Recovery
9480502308,GOVT HIGHER SEC SCH PAHITIPUR,AMBEDKAR NAGAR,KATEHARI,Senior_Secondary,9-12,154.0,141.0,154,157,-8.44,9.22,1.95,1.95,Recovery
9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,AMBEDKAR NAGAR,KATEHARI,Middle_to_Higher,6-12,251.0,215.0,221,325,-14.34,2.79,47.06,29.48,Recovery
9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,AMBEDKAR NAGAR,KATEHARI,Senior_Secondary,9-12,112.0,116.0,132,138,3.57,13.79,4.55,23.21,Consistent Growth
9480811703,GOVT HIGHER SEC SCH CHANDANPUR,AMBEDKAR NAGAR,RAMNAGAR,Senior_Secondary,9-12,80.0,81.0,68,84,1.25,-16.05,23.53,5.0,Volatile
9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,AMBEDKAR NAGAR,RAMNAGAR,Middle_to_Higher,6-12,60.0,175.0,335,557,191.67,91.43,66.27,828.33,Consistent Growth
9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,AMBEDKAR NAGAR,RAMNAGAR,Senior_Secondary,9-12,46.0,52.0,78,107,13.04,50.0,37.18,132.61,Consistent Growth
9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,AMBEDKAR NAGAR,RAMNAGAR,Middle_to_Secondary,6-10,226.0,206.0,185,168,-8.85,-10.19,-9.19,-25.66,Consistent Decline
9480917501,GOVT GIRLS INTER COLLEGE TANDA,AMBEDKAR NAGAR,TANDA,Middle_to_Secondary,6-10,148.0,127.0,151,160,-14.19,18.9,5.96,8.11,Recovery
9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,AMBEDKAR NAGAR,TANDA,Senior_Secondary,9-12,65.0,58.0,51,57,-10.77,-12.07,11.76,-12.31,Recovery
9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,AMBEDKAR NAGAR,TANDA,Senior_Secondary,9-12,127.0,110.0,83,112,-13.39,-24.55,34.94,-11.81,Recovery
9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,AMBEDKAR NAGAR,TANDA,Full_School,1-12,606.0,566.0,567,565,-6.6,0.18,-0.35,-6.77,Volatile
9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,AMBEDKAR NAGAR,TANDA TOWN AREA,Middle_to_Higher,6-12,37.0,81.0,132,160,118.92,62.96,21.21,332.43,Consistent Growth
9730208001,GGIC AMETHI,AMETHI - CSM NAGAR,AMETHI,Middle_to_Higher,6-12,584.0,444.0,423,339,-23.97,-4.73,-19.86,-41.95,Consistent Decline
9730200109,RAJKIYE HIGH SCHOOL,AMETHI - CSM NAGAR,AMETHI,Senior_Secondary,9-12,179.0,151.0,119,120,-15.64,-21.19,0.84,-32.96,Recovery
9732500101,GGIC JAIS,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,442.0,402.0,504,371,-9.05,25.37,-26.39,-16.06,Volatile
9732502201,GIC FURSATGANJ,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,1611.0,1578.0,1477,1313,-2.05,-6.4,-11.1,-18.5,Consistent Decline
9732500102,GIC JAIS,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,251.0,203.0,209,207,-19.12,2.96,-0.96,-17.53,Volatile
9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,157.0,128.0,308,375,-18.47,140.62,21.75,138.85,Recovery
9732500206,RAJKEEYA HIGH SCHOOL,AMETHI - CSM NAGAR,BAHADURPUR,Senior_Secondary,9-12,95.0,95.0,81,90,0.0,-14.74,11.11,-5.26,Volatile
