District,Block,School_ID,School_Name,School_Growth_Tag,Block_Cluster_Type,Is_Outlier,Outlier_Type
AMBEDKAR NAGAR,BHIYAON,9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,Consistent Growth,Mixed Block,No,Normal
AMBEDKAR NAGAR,JAHANGIRGANJ,9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,Consistent Growth,Recovery Cluster,No,Normal
AMBEDKAR NAGAR,JAHANGIRGANJ,9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,Recovery,Recovery Cluster,No,Normal
AMBEDKAR NAGAR,JAHANGIRGANJ,9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,Recovery,Recovery Cluster,No,Normal
AMBEDKAR NAGAR,JAHANGIRGANJ,9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,Recovery,Recovery Cluster,No,Normal
AMBEDKAR NAGAR,JALALPUR,9480602120,GOVT G INTER COLLEGE JALALPUR,Consistent Growth,Mixed Block,No,Normal
AMBEDKAR NAGAR,JALALPUR,9480607607,GOVT HIGHER SEC SCH BAREPUR,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,JALALPUR,9480605504,GOVT HIGHER SEC SCH BASIYA,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,KATEHARI,9480502308,GOVT HIGHER SEC SCH PAHITIPUR,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,KATEHARI,9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,KATEHARI,9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,Consistent Growth,Mixed Block,No,Normal
AMBEDKAR NAGAR,RAMNAGAR,9480811703,GOVT HIGHER SEC SCH CHANDANPUR,Volatile,Isolated Decline,No,Normal
AMBEDKAR NAGAR,RAMNAGAR,9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,Consistent Growth,Isolated Decline,No,Normal
AMBEDKAR NAGAR,RAMNAGAR,9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,Consistent Growth,Isolated Decline,No,Normal
AMBEDKAR NAGAR,RAMNAGAR,9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,Consistent Decline,Isolated Decline,No,Normal
AMBEDKAR NAGAR,TANDA,9480917501,GOVT GIRLS INTER COLLEGE TANDA,Recovery,Recovery Cluster,No,Normal
AMBEDKAR NAGAR,TANDA,9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,Recovery,Recovery Cluster,No,Normal
AMBEDKAR NAGAR,TANDA,9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,Recovery,Recovery Cluster,No,Normal
AMBEDKAR NAGAR,TANDA,9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,Volatile,Recovery Cluster,No,Normal
AMBEDKAR NAGAR,TANDA TOWN AREA,9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,Consistent Growth,Isolated Growth,No,Normal
AMETHI - CSM NAGAR,AMETHI,9730208001,GGIC AMETHI,Consistent Decline,Mixed Block,No,Normal
AMETHI - CSM NAGAR,AMETHI,9730200109,RAJKIYE HIGH SCHOOL,Recovery,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,Volatile,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BAHADURPUR,9732502201,GIC FURSATGANJ,Consistent Decline,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BAHADURPUR,9732500102,GIC JAIS,Volatile,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BAHADURPUR,9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,Recovery,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BAHADURPUR,9732500206,RAJKEEYA HIGH SCHOOL,Volatile,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BAHADURPUR,9732500609,RAJKIYA HIGH SCHOOL PEEDHI,Consistent Growth,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BHADAR,9732704801,GGIC SONARI KALA,Peaked,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BHADAR,9732701209,GIC TIKARMAFI,Peaked,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BHADAR,9732702403,RAJKIYA HIGH SCHOOL,Recovery,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BHADAR,9732706101,RAMABAI AMBEDKAR GGIC,Recovery,Mixed Block,No,Normal
AMETHI - CSM NAGAR,BHETUA,9732303305,RAJKIY INTER COLLEGE,Consistent Growth,Isolated Growth,No,Normal
AMETHI - CSM NAGAR,GAURIGANJ,9731904502,GGIC GAURIGANJ,Volatile,Mixed Block,No,Normal
AMETHI - CSM NAGAR,GAURIGANJ,9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,Recovery,Mixed Block,No,Normal
AMETHI - CSM NAGAR,JAGDISHPUR,9730100401,GGIC JAGDISHPUR,Consistent Growth,Isolated Decline,No,Normal
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,Consistent Decline,Isolated Decline,No,Normal
AMETHI - CSM NAGAR,JAGDISHPUR,9730104402,RAJKIY HIGH SCHOOL RANIGANJ,Recovery,Isolated Decline,No,Normal
AMETHI - CSM NAGAR,JAGDISHPUR,9730104605,GIC MAU ATWARA  JAGDISHPUR AMETHI,Consistent Growth,Isolated Decline,No,Normal
AMETHI - CSM NAGAR,JAMO,9732100101,GGIC JAMO,Peaked,Mixed Block,No,Normal
AMETHI - CSM NAGAR,JAMO,9732100205,RAJKIYE HIGH SCHOOL SARMEN,Volatile,Mixed Block,No,Normal
AMETHI - CSM NAGAR,JAMO,9732100115,UMA RAMAN INTER COLLEGE,Consistent Growth,Mixed Block,No,Normal
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730301001,GGIC MUSAFIRKHANA,Recovery,Isolated Decline,No,Normal
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,Consistent Growth,Isolated Decline,No,Normal
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,Consistent Decline,Isolated Decline,No,Normal
AMETHI - CSM NAGAR,SANGRAMPUR,9730400406,GGIC SANGRAMPUR,Recovery,Mixed Block,No,Normal
AMETHI - CSM NAGAR,SHAHGARH,9732000201,GGIC SHAHGARH,Consistent Decline,Mixed Block,No,Normal
AMETHI - CSM NAGAR,SHAHGARH,9732003204,GOVT HIGH SCHOOL AFUIYA,Stable,Mixed Block,No,Normal
AMETHI - CSM NAGAR,SHAHGARH,9732002803,RAJKIY HAIGH SCHOOL,Recovery,Mixed Block,No,Normal
AMETHI - CSM NAGAR,SHUKULBAZAR,9731800101,GGIC SHUKUL BAZAR,Recovery,Mixed Block,No,Normal
AMETHI - CSM NAGAR,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,Peaked,Mixed Block,No,Normal
AMETHI - CSM NAGAR,SINGHPUR,9731700509,RAJKIY HIGH SCHOOL SINGHPUR,Peaked,Mixed Block,No,Normal
AMETHI - CSM NAGAR,SINGHPUR,9731700807,RAJKIY INTER COLLGE INHAUNA,Volatile,Mixed Block,No,Normal
