school_id,school_name,district,block,School_Type,Class_Range_Label,Boys_2223,Boys_2324,Boys_2425,Boys_2526,Girls_2223,Girls_2324,Girls_2425,Girls_2526,Girls_Growth_Pct,Boys_Growth_Pct,Gender_Gap_Pct,Girls_Ratio_Current,Girls_Imbalance_Flag,Girls_Declining_Flag
9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,AMBEDKAR NAGAR,BASKHARI,Senior_Secondary,9-12,18.0,11.0,7,17,25.0,17.0,15,33,32.0,-5.56,37.56,0.66,Yes,No
9480308014,GOVT GIRLS INTER COLLEGE BHEETI,AMBEDKAR NAGAR,BHEETI,Middle_to_Secondary,6-10,0.0,0.0,0,0,83.0,100.0,148,162,95.18,,,1.0,No,No
9480406306,GOVT HIGHER SEC SCH RAMGARH,AMBEDKAR NAGAR,BHIYAON,Senior_Secondary,9-12,44.0,39.0,36,64,25.0,17.0,22,30,20.0,45.45,-25.45,0.319,Yes,No
9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,AMBEDKAR NAGAR,BHIYAON,Senior_Secondary,9-12,26.0,24.0,30,40,50.0,38.0,41,89,78.0,53.85,24.15,0.69,Yes,No
9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,AMBEDKAR NAGAR,BHIYAON,Middle_to_Higher,6-12,128.0,251.0,256,280,65.0,152.0,216,233,258.46,118.75,139.71,0.454,Yes,No
9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,AMBEDKAR NAGAR,JAHANGIRGANJ,Middle_to_Secondary,6-10,39.0,83.0,147,136,123.0,144.0,167,179,45.53,248.72,-203.19,0.568,Yes,No
9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,87.0,60.0,50,56,62.0,47.0,53,82,32.26,-35.63,67.89,0.594,Yes,No
9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,86.0,60.0,69,106,61.0,35.0,39,48,-21.31,23.26,-44.57,0.312,Yes,Yes
9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,47.0,38.0,36,41,14.0,11.0,27,39,178.57,-12.77,191.34,0.487,Yes,No
9480602120,GOVT G INTER COLLEGE JALALPUR,AMBEDKAR NAGAR,JALALPUR,Middle_to_Higher,6-12,0.0,0.0,0,0,250.0,296.0,344,367,46.8,,,1.0,No,No
9480607607,GOVT HIGHER SEC SCH BAREPUR,AMBEDKAR NAGAR,JALALPUR,Senior_Secondary,9-12,23.0,16.0,16,27,38.0,33.0,59,54,42.11,17.39,24.72,0.667,Yes,No
9480605504,GOVT HIGHER SEC SCH BASIYA,AMBEDKAR NAGAR,JALALPUR,Senior_Secondary,9-12,43.0,30.0,27,39,47.0,51.0,65,58,23.4,-9.3,32.7,0.598,Yes,No
9480502308,GOVT HIGHER SEC SCH PAHITIPUR,AMBEDKAR NAGAR,KATEHARI,Senior_Secondary,9-12,72.0,64.0,60,73,82.0,77.0,94,84,2.44,1.39,1.05,0.535,Yes,No
9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,AMBEDKAR NAGAR,KATEHARI,Middle_to_Higher,6-12,135.0,106.0,94,137,116.0,109.0,127,188,62.07,1.48,60.59,0.578,Yes,No
9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,AMBEDKAR NAGAR,KATEHARI,Senior_Secondary,9-12,56.0,52.0,54,61,56.0,64.0,78,77,37.5,8.93,28.57,0.558,Yes,No
9480811703,GOVT HIGHER SEC SCH CHANDANPUR,AMBEDKAR NAGAR,RAMNAGAR,Senior_Secondary,9-12,46.0,47.0,34,44,34.0,34.0,34,40,17.65,-4.35,22.0,0.476,Yes,No
9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,AMBEDKAR NAGAR,RAMNAGAR,Middle_to_Higher,6-12,43.0,136.0,231,353,17.0,39.0,104,204,1100.0,720.93,379.07,0.366,Yes,No
9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,AMBEDKAR NAGAR,RAMNAGAR,Senior_Secondary,9-12,25.0,31.0,53,70,21.0,21.0,25,37,76.19,180.0,-103.81,0.346,Yes,No
9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,AMBEDKAR NAGAR,RAMNAGAR,Middle_to_Secondary,6-10,0.0,0.0,0,0,226.0,206.0,185,168,-25.66,,,1.0,No,Yes
9480917501,GOVT GIRLS INTER COLLEGE TANDA,AMBEDKAR NAGAR,TANDA,Middle_to_Secondary,6-10,0.0,0.0,0,0,148.0,127.0,151,160,8.11,,,1.0,No,No
9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,AMBEDKAR NAGAR,TANDA,Senior_Secondary,9-12,33.0,30.0,25,30,32.0,28.0,26,27,-15.62,-9.09,-6.53,0.474,Yes,Yes
9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,AMBEDKAR NAGAR,TANDA,Senior_Secondary,9-12,85.0,83.0,62,77,42.0,27.0,21,35,-16.67,-9.41,-7.26,0.312,Yes,Yes
9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,AMBEDKAR NAGAR,TANDA,Full_School,1-12,364.0,317.0,318,306,242.0,249.0,249,259,7.02,-15.93,22.95,0.458,Yes,No
9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,AMBEDKAR NAGAR,TANDA TOWN AREA,Middle_to_Higher,6-12,0.0,0.0,0,0,37.0,81.0,132,160,332.43,,,1.0,No,No
9730208001,GGIC AMETHI,AMETHI - CSM NAGAR,AMETHI,Middle_to_Higher,6-12,0.0,0.0,0,0,584.0,444.0,423,339,-41.95,,,1.0,No,Yes
9730200109,RAJKIYE HIGH SCHOOL,AMETHI - CSM NAGAR,AMETHI,Senior_Secondary,9-12,109.0,93.0,66,59,70.0,58.0,53,61,-12.86,-45.87,33.01,0.508,Yes,Yes
9732500101,GGIC JAIS,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,0.0,0.0,0,0,442.0,402.0,504,371,-16.06,,,1.0,No,Yes
9732502201,GIC FURSATGANJ,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,869.0,867.0,802,708,742.0,711.0,675,605,-18.46,-18.53,0.07,0.461,Yes,Yes
9732500102,GIC JAIS,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,158.0,116.0,110,109,93.0,87.0,99,98,5.38,-31.01,36.39,0.473,Yes,No
9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,74.0,64.0,169,189,83.0,64.0,139,186,124.1,155.41,-31.31,0.496,Yes,No
9732500206,RAJKEEYA HIGH SCHOOL,AMETHI - CSM NAGAR,BAHADURPUR,Senior_Secondary,9-12,43.0,46.0,49,54,52.0,49.0,32,36,-30.77,25.58,-56.35,0.4,Yes,Yes
9732500609,RAJKIYA HIGH SCHOOL PEEDHI,AMETHI - CSM NAGAR,BAHADURPUR,Senior_Secondary,9-12,23.0,36.0,63,79,42.0,48.0,55,69,64.29,243.48,-179.19,0.466,Yes,No
9732704801,GGIC SONARI KALA,AMETHI - CSM NAGAR,BHADAR,Middle_to_Higher,6-12,0.0,0.0,0,0,506.0,509.0,504,460,-9.09,,,1.0,No,Yes
9732701209,GIC TIKARMAFI,AMETHI - CSM NAGAR,BHADAR,Middle_to_Higher,6-12,502.0,536.0,485,440,146.0,134.0,165,166,13.7,-12.35,26.05,0.274,Yes,No
9732702403,RAJKIYA HIGH SCHOOL,AMETHI - CSM NAGAR,BHADAR,Senior_Secondary,9-12,19.0,17.0,18,24,12.0,7.0,16,32,166.67,26.32,140.35,0.571,Yes,No
9732706101,RAMABAI AMBEDKAR GGIC,AMETHI - CSM NAGAR,BHADAR,Middle_to_Higher,6-12,0.0,0.0,0,9,136.0,99.0,98,107,-21.32,,,0.922,No,Yes
9732303305,RAJKIY INTER COLLEGE,AMETHI - CSM NAGAR,BHETUA,Middle_to_Higher,6-12,30.0,52.0,126,139,27.0,47.0,74,85,214.81,363.33,-148.52,0.379,Yes,No
9731904502,GGIC GAURIGANJ,AMETHI - CSM NAGAR,GAURIGANJ,Middle_to_Higher,6-12,0.0,0.0,0,0,428.0,388.0,407,345,-19.39,,,1.0,No,Yes
9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,AMETHI - CSM NAGAR,GAURIGANJ,Middle_to_Higher,6-12,30.0,21.0,23,31,37.0,32.0,31,39,5.41,3.33,2.08,0.557,Yes,No
9730100401,GGIC JAGDISHPUR,AMETHI - CSM NAGAR,JAGDISHPUR,Middle_to_Higher,6-12,0.0,0.0,0,0,223.0,227.0,274,298,33.63,,,1.0,No,No
9730106203,GOVT H S MANGRAULI JAGDISHPUR,AMETHI - CSM NAGAR,JAGDISHPUR,Senior_Secondary,9-12,35.0,32.0,31,30,35.0,32.0,32,23,-34.29,-14.29,-20.0,0.434,Yes,Yes
