school_id,school_name,district,block,School_Type,Class_Range_Label,Stability_Mean,Stability_Std,CV_Pct,Stability_Label
9732303305,RAJKIY INTER COLLEGE,AMETHI - CSM NAGAR,BHETUA,Middle_to_Higher,6-12,145.0,79.85,55.07,Volatile
9731904502,GGIC GAURIGANJ,AMETHI - CSM NAGAR,GAURIGANJ,Middle_to_Higher,6-12,392.0,35.34,9.02,Moderate
9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,AMETHI - CSM NAGAR,GAURIGANJ,Middle_to_Higher,6-12,61.0,8.76,14.36,Moderate
9730100401,GGIC JAGDISHPUR,AMETHI - CSM NAGAR,JAGDISHPUR,Middle_to_Higher,6-12,255.5,36.59,14.32,Moderate
9730106203,GOVT H S MANGRAULI JAGDISHPUR,AMETHI - CSM NAGAR,JAGDISHPUR,Senior_Secondary,9-12,62.5,7.05,11.28,Moderate
9730104402,RAJKIY HIGH SCHOOL RANIGANJ,AMETHI - CSM NAGAR,JAGDISHPUR,Senior_Secondary,9-12,35.0,18.67,53.34,Volatile
9732100101,GGIC JAMO,AMETHI - CSM NAGAR,JAMO,Middle_to_Higher,6-12,404.75,36.88,9.11,Moderate
9732100205,RAJKIYE HIGH SCHOOL SARMEN,AMETHI - CSM NAGAR,JAMO,Senior_Secondary,9-12,74.0,3.74,5.05,Moderate
9732100115,UMA RAMAN INTER COLLEGE,AMETHI - CSM NAGAR,JAMO,Middle_to_Secondary,6-10,257.0,50.18,19.53,Volatile
9730301001,GGIC MUSAFIRKHANA,AMETHI - CSM NAGAR,MUSAFIRKHANA,Middle_to_Higher,6-12,1000.0,87.69,8.77,Moderate
9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,AMETHI - CSM NAGAR,MUSAFIRKHANA,Middle_to_Higher,6-12,115.75,66.91,57.81,Volatile
9730303904,RAJKIY HIGH SCHOOL KANJAS,AMETHI - CSM NAGAR,MUSAFIRKHANA,Senior_Secondary,9-12,53.0,15.25,28.77,Volatile
