District,Block,School_ID,School_Name,Girls_C8,Girls_C9,Girls_C10,Girls_C11,Girls_C12,Cont_C8_C9_pct,Cont_C9_C10_pct,Cont_C10_C11_pct,Cont_C11_C12_pct,Girls_Progression_pct,Weakest_Step,C10_C11_Trend,Ladder_Tag
AMBEDKAR NAGAR,JAHANGIRGANJ,9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,0,23,25,0,0,2300000.0,108.7,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,JAHANGIRGANJ,9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,0,19,20,0,0,1900000.0,105.3,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,JALALPUR,9480602120,GOVT G INTER COLLEGE JALALPUR,38,86,127,61,55,226.3,147.7,48.0,90.2,144.7,C10-C11,Fewer Girls Enrolling in C11,Class 10-11 Enrollment Gap
AMBEDKAR NAGAR,JALALPUR,9480607607,GOVT HIGHER SEC SCH BAREPUR,0,11,43,0,0,1100000.0,390.9,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,JALALPUR,9480605504,GOVT HIGHER SEC SCH BASIYA,0,26,32,0,0,2600000.0,123.1,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,KATEHARI,9480502308,GOVT HIGHER SEC SCH PAHITIPUR,0,31,53,0,0,3100000.0,171.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,KATEHARI,9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,0,80,32,40,36,8000000.0,40.0,125.0,90.0,3600000.0,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AMBEDKAR NAGAR,KATEHARI,9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,0,45,32,0,0,4500000.0,71.1,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,RAMNAGAR,9480811703,GOVT HIGHER SEC SCH CHANDANPUR,0,23,17,0,0,2300000.0,73.9,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,RAMNAGAR,9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,4,84,56,32,28,2099.5,66.7,57.1,87.5,699.8,C10-C11,More Girls Enrolling in C11,Multiple Enrollment Gaps
AMBEDKAR NAGAR,RAMNAGAR,9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,0,24,13,0,0,2400000.0,54.2,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,RAMNAGAR,9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,0,57,55,31,25,5700000.0,96.5,56.4,80.6,2500000.0,C10-C11,Fewer Girls Enrolling in C11,Class 10-11 Enrollment Gap
AMBEDKAR NAGAR,TANDA,9480917501,GOVT GIRLS INTER COLLEGE TANDA,0,39,41,40,40,3900000.0,105.1,97.6,100.0,4000000.0,C10-C11,More Girls Enrolling in C11,Strong Enrollment
AMBEDKAR NAGAR,TANDA,9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,0,17,10,0,0,1700000.0,58.8,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,TANDA,9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,0,21,14,0,0,2100000.0,66.7,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,TANDA,9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,26,65,64,46,58,250.0,98.5,71.9,126.1,223.1,C10-C11,Stable,Moderate Enrollment
AMBEDKAR NAGAR,TANDA TOWN AREA,9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,23,46,26,33,32,200.0,56.5,126.9,97.0,139.1,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AMETHI - CSM NAGAR,AMETHI,9730208001,GGIC AMETHI,20,78,101,41,99,390.0,129.5,40.6,241.5,495.0,C10-C11,Stable,Class 10-11 Enrollment Gap
AMETHI - CSM NAGAR,AMETHI,9730200109,RAJKIYE HIGH SCHOOL,0,33,28,0,0,3300000.0,84.8,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,0,75,87,100,109,7500000.0,116.0,114.9,109.0,10900000.0,C11-C12,More Girls Enrolling in C11,Strong Enrollment
AMETHI - CSM NAGAR,BAHADURPUR,9732502201,GIC FURSATGANJ,5,132,154,156,158,2639.5,116.7,101.3,101.3,3159.4,C10-C11,More Girls Enrolling in C11,Strong Enrollment
AMETHI - CSM NAGAR,BAHADURPUR,9732500102,GIC JAIS,3,31,19,26,19,1033.0,61.3,136.8,73.1,633.1,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AMETHI - CSM NAGAR,BAHADURPUR,9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,0,70,41,36,39,7000000.0,58.6,87.8,108.3,3900000.0,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AMETHI - CSM NAGAR,BAHADURPUR,9732500206,RAJKEEYA HIGH SCHOOL,0,29,7,0,0,2900000.0,24.1,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,BAHADURPUR,9732500609,RAJKIYA HIGH SCHOOL PEEDHI,0,40,29,0,0,4000000.0,72.5,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,BHADAR,9732704801,GGIC SONARI KALA,21,86,123,117,113,409.5,143.0,95.1,96.6,538.1,C10-C11,More Girls Enrolling in C11,Strong Enrollment
AMETHI - CSM NAGAR,BHADAR,9732701209,GIC TIKARMAFI,5,36,33,41,51,719.9,91.7,124.2,124.4,1019.8,C9-C10,More Girls Enrolling in C11,Strong Enrollment
AMETHI - CSM NAGAR,BHADAR,9732702403,RAJKIYA HIGH SCHOOL,0,19,13,0,0,1900000.0,68.4,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,BHADAR,9732706101,RAMABAI AMBEDKAR GGIC,4,40,27,14,22,999.8,67.5,51.8,157.1,549.9,C10-C11,Stable,Multiple Enrollment Gaps
AMETHI - CSM NAGAR,BHETUA,9732303305,RAJKIY INTER COLLEGE,16,17,23,14,15,106.2,135.3,60.9,107.1,93.7,C10-C11,More Girls Enrolling in C11,Class 10-11 Enrollment Gap
AMETHI - CSM NAGAR,GAURIGANJ,9731904502,GGIC GAURIGANJ,20,78,106,59,82,390.0,135.9,55.7,139.0,410.0,C10-C11,More Girls Enrolling in C11,Class 10-11 Enrollment Gap
AMETHI - CSM NAGAR,GAURIGANJ,9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,0,16,6,9,8,1600000.0,37.5,150.0,88.9,800000.0,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AMETHI - CSM NAGAR,JAGDISHPUR,9730100401,GGIC JAGDISHPUR,26,98,87,42,45,376.9,88.8,48.3,107.1,173.1,C10-C11,More Girls Enrolling in C11,Class 10-11 Enrollment Gap
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,0,13,10,0,0,1300000.0,76.9,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,JAGDISHPUR,9730104402,RAJKIY HIGH SCHOOL RANIGANJ,0,8,15,0,0,800000.0,187.5,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,JAMO,9732100101,GGIC JAMO,36,101,125,76,87,280.5,123.8,60.8,114.5,241.7,C10-C11,Stable,Class 10-11 Enrollment Gap
AMETHI - CSM NAGAR,JAMO,9732100205,RAJKIYE HIGH SCHOOL SARMEN,0,17,21,0,0,1700000.0,123.5,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,JAMO,9732100115,UMA RAMAN INTER COLLEGE,0,18,8,22,11,1800000.0,44.4,275.0,50.0,1100000.0,C9-C10,More Girls Enrolling in C11,Multiple Enrollment Gaps
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730301001,GGIC MUSAFIRKHANA,50,234,241,198,226,468.0,103.0,82.2,114.1,452.0,C10-C11,Stable,Strong Enrollment
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,28,14,24,30,4,50.0,171.4,125.0,13.3,14.3,C11-C12,More Girls Enrolling in C11,Collapsed Enrollment
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,0,9,12,0,0,900000.0,133.3,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,SANGRAMPUR,9730400406,GGIC SANGRAMPUR,0,8,12,7,7,800000.0,150.0,58.3,100.0,700000.0,C10-C11,Stable,Class 10-11 Enrollment Gap
AMETHI - CSM NAGAR,SHAHGARH,9732000201,GGIC SHAHGARH,29,108,89,98,86,372.4,82.4,110.1,87.8,296.5,C9-C10,More Girls Enrolling in C11,Strong Enrollment
AMETHI - CSM NAGAR,SHAHGARH,9732003204,GOVT HIGH SCHOOL AFUIYA,0,43,40,0,0,4300000.0,93.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,SHAHGARH,9732002803,RAJKIY HAIGH SCHOOL,0,22,11,0,0,2200000.0,50.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,SHUKULBAZAR,9731800101,GGIC SHUKUL BAZAR,25,23,26,10,27,92.0,113.0,38.5,270.0,108.0,C10-C11,Fewer Girls Enrolling in C11,Class 10-11 Enrollment Gap
AMETHI - CSM NAGAR,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,0,8,17,0,0,800000.0,212.5,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,SINGHPUR,9731700509,RAJKIY HIGH SCHOOL SINGHPUR,0,22,20,0,0,2200000.0,90.9,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMETHI - CSM NAGAR,SINGHPUR,9731700807,RAJKIY INTER COLLGE INHAUNA,4,23,9,25,17,574.9,39.1,277.7,68.0,424.9,C9-C10,More Girls Enrolling in C11,Multiple Enrollment Gaps
