District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
AMBEDKAR NAGAR,TANDA,9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,127,110,83,112,True,2024-25,83,29,34.94,Late Recovery,Strong
AMBEDKAR NAGAR,TANDA,9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,606,566,567,565,True,2025-26,565,0,0.0,Still Declining,No Recovery
AMBEDKAR NAGAR,TANDA TOWN AREA,9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,37,81,132,160,False,2022-23,37,123,332.43,No Recovery Needed,Strong
AMETHI - CSM NAGAR,AMETHI,9730208001,GGIC AMETHI,584,444,423,339,True,2025-26,339,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,AMETHI,9730200109,RAJKIYE HIGH SCHOOL,179,151,119,120,True,2024-25,119,1,0.84,Late Recovery,Weak
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,442,402,504,371,True,2025-26,371,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,BAHADURPUR,9732502201,GIC FURSATGANJ,1611,1578,1477,1313,True,2025-26,1313,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,BAHADURPUR,9732500102,GIC JAIS,251,203,209,207,True,2023-24,203,4,1.97,Still Declining,Weak
AMETHI - CSM NAGAR,BAHADURPUR,9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,157,128,308,375,True,2023-24,128,247,192.97,Strong Recovery,Strong
AMETHI - CSM NAGAR,BAHADURPUR,9732500206,RAJKEEYA HIGH SCHOOL,95,95,81,90,True,2024-25,81,9,11.11,Partial Recovery,Moderate
AMETHI - CSM NAGAR,BAHADURPUR,9732500609,RAJKIYA HIGH SCHOOL PEEDHI,65,84,118,148,False,2022-23,65,83,127.69,No Recovery Needed,Strong
AMETHI - CSM NAGAR,BHADAR,9732704801,GGIC SONARI KALA,506,509,504,460,True,2025-26,460,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,BHADAR,9732701209,GIC TIKARMAFI,648,670,650,606,True,2025-26,606,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,BHADAR,9732702403,RAJKIYA HIGH SCHOOL,31,24,34,56,True,2023-24,24,32,133.33,Strong Recovery,Strong
AMETHI - CSM NAGAR,BHADAR,9732706101,RAMABAI AMBEDKAR GGIC,136,99,98,116,True,2024-25,98,18,18.37,Late Recovery,Moderate
AMETHI - CSM NAGAR,BHETUA,9732303305,RAJKIY INTER COLLEGE,57,99,200,224,False,2022-23,57,167,292.98,No Recovery Needed,Strong
AMETHI - CSM NAGAR,GAURIGANJ,9731904502,GGIC GAURIGANJ,428,388,407,345,True,2025-26,345,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,GAURIGANJ,9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,67,53,54,70,True,2023-24,53,17,32.08,Strong Recovery,Strong
AMETHI - CSM NAGAR,JAGDISHPUR,9730100401,GGIC JAGDISHPUR,223,227,274,298,False,2022-23,223,75,33.63,No Recovery Needed,Strong
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,70,64,63,53,True,2025-26,53,0,0.0,Still Declining,No Recovery
AMETHI - CSM NAGAR,JAGDISHPUR,9730104402,RAJKIY HIGH SCHOOL RANIGANJ,62,33,22,23,True,2024-25,22,1,4.55,Late Recovery,Weak
